"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","5862050160","444791700","832660","59676","565926","135884","10310","13.18","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","4809858840","332559600","389980","13207","436487","111494","7708","14.46","Call of Duty: Warzone"
"3","VALORANT","VALORANT","20673118740","275300820","1728977","15710","319709","479209","6381","75.09","VALORANT"
"4","League of Legends","League of Legends","8151568320","207689700","727437","8802","243651","188956","4814","39.25","League of Legends"
"5","Just Chatting","Just Chatting","8515378680","138202020","548653","4912","272519","197389","3203","61.62","Just Chatting"
"6","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","5200389660","118878840","535624","5542","215744","120546","2755","43.75","Counter-Strike: Global Offensive"
"7","Minecraft","Minecraft","2467664160","100162560","317297","4077","196386","57201","2321","24.64","Minecraft"
"8","Apex Legends","Apex Legends","1016873100","99514320","74276","3877","135535","23571","2306","10.22","Apex Legends"
"9","Grand Theft Auto V","Grand Theft Auto V","4544666040","87022560","240860","4233","122286","105346","2017","52.22","Grand Theft Auto V"
"10","World of Warcraft","World of Warcraft","1980780780","79571760","150840","4515","68562","45915","1844","24.89","World of Warcraft"
"11","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","683610540","77620080","42454","3131","136957","15846","1799","8.81","Tom Clancy's Rainbow Six Siege"
"12","Final Fantasy VII Remake","Final Fantasy VII Remake","1415324820","65242320","229292","9298","54928","32807","1512","21.69","Final Fantasy VII Remake"
"13","Overwatch","Overwatch","822515100","52544280","82477","2087","87545","19066","1217","15.65","Overwatch"
"14","Escape from Tarkov","Escape from Tarkov","1155314340","43976820","266055","1697","34297","26780","1019","26.27","Escape from Tarkov"
"15","FIFA 20","FIFA 20","1603365060","42500520","252777","3825","87226","37166","985","37.73","FIFA 20"
"16","Dota 2","Dota 2","3268624320","40435980","360147","1747","34147","75767","937","80.83","Dota 2"
"17","Dead by Daylight","Dead by Daylight","778293060","40428960","68689","1790","55513","18041","937","19.25","Dead by Daylight"
"18","Music","Music","1111952640","37875420","185533","1954","43889","25775","877","29.36","Music"
"19","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","717048480","37188720","71953","1371","45116","16621","862","19.28","PUBG: BATTLEGROUNDS"
"20","Destiny 2","Destiny 2","431834400","34729620","58881","1881","40966","10010","805","12.43","Destiny 2"
"21","NBA 2K20","NBA 2K20","383402700","33927120","36322","1619","54702","8887","786","11.3","NBA 2K20"
"22","Rocket League","Rocket League","493203660","31530720","141539","1322","87995","11432","730","15.64","Rocket League"
"23","Animal Crossing: New Horizons","Animal Crossing: New Horizons","1349649840","31170240","130992","1759","38121","31285","722","43.3","Animal Crossing: New Horizons"
"24","Art","Art","416557980","26850240","23175","968","40925","9655","622","15.51","Art"
"25","Resident Evil 3","Resident Evil 3","930399360","24948060","318002","5619","51549","21566","578","37.29","Resident Evil 3"
"26","Teamfight Tactics","Teamfight Tactics","1368326640","23609100","121033","821","44358","31718","547","57.96","Teamfight Tactics"
"27","Hearthstone","Hearthstone","1757679840","15137160","159643","1313","20427","40743","350","116.12","Hearthstone"
"28","Sea of Thieves","Sea of Thieves","262069200","15136800","78018","992","23402","6074","350","17.31","Sea of Thieves"
"29","Madden NFL 20","Madden NFL 20","190530540","14987460","75160","878","26818","4416","347","12.71","Madden NFL 20"
"30","Path of Exile","Path of Exile","564248400","14398680","26884","598","10489","13079","333","39.19","Path of Exile"
"31","Final Fantasy XIV Online","Final Fantasy XIV Online","121342680","14391480","32256","1062","15829","2812","333","8.43","Final Fantasy XIV Online"
"32","Monster Hunter: World","Monster Hunter: World","153797580","13148340","13238","648","17431","3565","304","11.7","Monster Hunter: World"
"33","Mount & Blade II: Bannerlord","Mount & Blade II: Bannerlord","806788800","13103580","132049","1010","17732","18701","303","61.57","Mount & Blade II: Bannerlord"
"34","Ark: Survival Evolved","Ark: Survival Evolved","102021900","12826020","12957","509","13087","2364","297","7.95","Ark: Survival Evolved"
"35","Roblox","Roblox","56989020","12134220","11151","559","26631","1321","281","4.7","Roblox"
"36","Rust","Rust","224573760","11404140","40997","742","15530","5205","264","19.69","Rust"
"37","World of Tanks","World of Tanks","269922540","10697280","22183","543","10399","6256","247","25.23","World of Tanks"
"38","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","42617640","10634400","13344","446","15810","987","246","4.01","Call of Duty: Black Ops 4"
"39","SMITE","SMITE","244295640","10375980","22708","459","14382","5662","240","23.54","SMITE"
"40","Black Desert","Black Desert","224133540","10326360","9591","352","9179","5195","239","21.7","Black Desert"
"41","osu!","osu!","64640640","9602340","7754","369","24954","1498","222","6.73","osu!"
"42","Red Dead Redemption 2","Red Dead Redemption 2","82176360","9278280","15289","391","15118","1904","215","8.86","Red Dead Redemption 2"
