"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","7370531340","614742240","623197","39752","749518","165332","13789","11.99","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","5499887040","351727560","352914","14850","420751","123371","7889","15.64","Call of Duty: Warzone"
"3","VALORANT","VALORANT","8686823100","285807900","790635","16287","363116","194859","6411","30.39","VALORANT"
"4","League of Legends","League of Legends","7661908320","211061700","504630","8347","245122","171868","4734","36.3","League of Legends"
"5","Just Chatting","Just Chatting","10892194920","156157800","839576","6961","314436","244329","3502","69.75","Just Chatting"
"6","Apex Legends","Apex Legends","1847533140","143391000","222753","8000","178385","41443","3216","12.88","Apex Legends"
"7","Grand Theft Auto V","Grand Theft Auto V","6002999820","126114840","373709","5847","197660","134656","2828","47.6","Grand Theft Auto V"
"8","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4607208480","107027280","380494","4853","187999","103346","2400","43.05","Counter-Strike: Global Offensive"
"9","Minecraft","Minecraft","2465486280","106930320","481719","4034","210206","55304","2398","23.06","Minecraft"
"10","World of Warcraft","World of Warcraft","2202139620","83921940","123076","4731","69030","49397","1882","26.24","World of Warcraft"
"11","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","689009820","80286060","106988","2972","139671","15455","1800","8.58","Tom Clancy's Rainbow Six Siege"
"12","FIFA 20","FIFA 20","2423410500","56481420","256298","4961","105866","54360","1266","42.91","FIFA 20"
"13","Overwatch","Overwatch","889155540","56146860","142904","2434","87808","19945","1259","15.84","Overwatch"
"14","Dead by Daylight","Dead by Daylight","983465580","49395240","128138","2183","62995","22060","1108","19.91","Dead by Daylight"
"15","Music","Music","1600503180","46525320","170584","2168","50281","35901","1043","34.4","Music"
"16","Dota 2","Dota 2","3061430820","43044060","199291","1758","33057","68672","965","71.12","Dota 2"
"17","NBA 2K20","NBA 2K20","518280120","42362580","61229","1868","62943","11625","950","12.23","NBA 2K20"
"18","Escape from Tarkov","Escape from Tarkov","1026849600","41373060","125105","4195","35078","23033","928","24.82","Escape from Tarkov"
"19","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","853046880","35681940","72660","1220","40736","19135","800","23.91","PUBG: BATTLEGROUNDS"
"20","Destiny 2","Destiny 2","412714860","32940960","33126","1490","37636","9257","738","12.53","Destiny 2"
"21","Rocket League","Rocket League","417536520","32126700","92615","1202","87250","9366","720","13","Rocket League"
"22","Art","Art","463601940","29237280","30391","1010","43298","10399","655","15.86","Art"
"23","Terraria","Terraria","797965140","23245140","125768","4989","39524","17899","521","34.33","Terraria"
"24","Sea of Thieves","Sea of Thieves","802935900","23085420","76126","992","33764","18011","517","34.78","Sea of Thieves"
"25","Teamfight Tactics","Teamfight Tactics","1286465700","20279520","68163","711","37590","28857","454","63.44","Teamfight Tactics"
"26","Animal Crossing: New Horizons","Animal Crossing: New Horizons","609046920","18360060","58370","862","25999","13661","411","33.17","Animal Crossing: New Horizons"
"27","Minecraft Dungeons","Minecraft Dungeons","485756940","17493840","199475","5340","46892","10896","392","27.77","Minecraft Dungeons"
"28","Madden NFL 20","Madden NFL 20","196687980","16708020","43829","929","28434","4412","374","11.77","Madden NFL 20"
"29","Final Fantasy XIV Online","Final Fantasy XIV Online","136907220","16699620","11933","1059","16916","3071","374","8.2","Final Fantasy XIV Online"
"30","Final Fantasy VII Remake","Final Fantasy VII Remake","196673940","16154280","42902","1059","19541","4411","362","12.17","Final Fantasy VII Remake"
"31","Red Dead Redemption 2","Red Dead Redemption 2","205688820","14109480","24318","570","22278","4613","316","14.58","Red Dead Redemption 2"
"32","Roblox","Roblox","70409940","13883760","12067","501","29952","1579","311","5.07","Roblox"
