"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"33","Hearthstone","Hearthstone","1356690660","12400440","66948","483","15434","30432","278","109.41","Hearthstone"
"34","Ark: Survival Evolved","Ark: Survival Evolved","119670240","12223320","20631","505","11787","2684","274","9.79","Ark: Survival Evolved"
"35","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","56238120","12025980","10165","453","16929","1261","269","4.68","Call of Duty: Black Ops 4"
"36","Rust","Rust","238964700","11912520","40436","755","15413","5360","267","20.06","Rust"
"37","Monster Hunter: World","Monster Hunter: World","167689860","11774220","34107","556","15953","3761","264","14.24","Monster Hunter: World"
"38","SMITE","SMITE","280798740","11195040","32960","491","15103","6298","251","25.08","SMITE"
"39","Dark Souls III","Dark Souls III","258320580","11152320","43941","421","18693","5794","250","23.16","Dark Souls III"
"40","Garena Free Fire","Garena Free Fire","315627900","11143140","73967","516","8209","7080","249","28.32","Garena Free Fire"
"41","osu!","osu!","81804120","10970280","34787","425","27399","1834","246","7.46","osu!"
"42","Black Desert","Black Desert","227564580","10887180","38909","362","8699","5104","244","20.9","Black Desert"
"43","Call of Duty: Black Ops III","Call of Duty: Black Ops III","70514040","10847700","37744","410","23243","1581","243","6.5","Call of Duty: Black Ops III"
"44","SnowRunner","SnowRunner","247207260","10463880","57672","651","12536","5545","234","23.62","SnowRunner"
"45","World of Tanks","World of Tanks","241368000","10286280","22401","548","9489","5414","230","23.47","World of Tanks"
"46","Old School RuneScape","Old School RuneScape","557628900","9990300","77627","352","8980","12508","224","55.82","Old School RuneScape"
"47","DayZ","DayZ","114686460","9009000","12341","448","12404","2572","202","12.73","DayZ"
"48","Fallout 76","Fallout 76","142195380","8974080","22899","499","10289","3189","201","15.85","Fallout 76"
"49","Tibia","Tibia","209875200","8839380","10977","400","5649","4707","198","23.74","Tibia"
"50","Science & Technology","Science & Technology","117053700","8772600","71487","450","9120","2625","196","13.34","Science & Technology"
