"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Call of Duty: Warzone","Call of Duty: Warzone","4573030680","399239160","396270","22121","428944","102580","8955","11.45","Call of Duty: Warzone"
"2","Fortnite","Fortnite","5133595440","346675020","388650","15148","533320","115154","7776","14.81","Fortnite"
"3","League of Legends","League of Legends","10296784020","202029420","2020835","8520","246211","230973","4531","50.97","League of Legends"
"4","Just Chatting","Just Chatting","12189572700","165447420","684417","6778","355568","273431","3711","73.68","Just Chatting"
"5","Among Us","Among Us","6583015140","129659160","753943","9142","386445","147667","2908","50.77","Among Us"
"6","Apex Legends","Apex Legends","1573703100","121416840","85711","4417","161167","35300","2723","12.96","Apex Legends"
"7","Genshin Impact","Genshin Impact","1912552620","116887020","142744","5816","181338","42901","2621","16.36","Genshin Impact"
"8","VALORANT","VALORANT","2241723300","116839680","165457","4681","176347","50285","2620","19.19","VALORANT"
"9","Phasmophobia","Phasmophobia","2915947560","112573440","256449","8886","223859","65409","2525","25.9","Phasmophobia"
"10","Minecraft","Minecraft","2987893020","108165780","472079","4489","235174","67023","2426","27.62","Minecraft"
"11","Grand Theft Auto V","Grand Theft Auto V","3349982700","73539840","202629","3627","98469","75145","1649","45.55","Grand Theft Auto V"
"12","Rocket League","Rocket League","1321969560","72644640","243644","3196","263835","29653","1629","18.2","Rocket League"
"13","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3513648240","68299740","434419","2976","124370","78816","1532","51.44","Counter-Strike: Global Offensive"
"14","World of Warcraft","World of Warcraft","2005787640","67273800","210166","3721","67486","44992","1509","29.82","World of Warcraft"
"15","FIFA 21","FIFA 21","3667730160","63627060","474733","3830","100606","82272","1427","57.64","FIFA 21"
"16","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","654900300","62778000","55139","2528","123476","14690","1408","10.43","Tom Clancy's Rainbow Six Siege"
"17","Dead by Daylight","Dead by Daylight","1131423660","56511660","96000","3105","83571","25379","1267","20.02","Dead by Daylight"
"18","Overwatch","Overwatch","761173260","49505880","71982","2489","83528","17074","1110","15.38","Overwatch"
"19","Music","Music","1211588280","43439460","293752","1929","40428","27177","974","27.89","Music"
"20","Escape from Tarkov","Escape from Tarkov","884566380","40400820","86085","1592","29458","19842","906","21.89","Escape from Tarkov"
