"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"21","Destiny 2","Destiny 2","382829760","38464200","31956","1782","47421","8587","862","9.95","Destiny 2"
"22","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","697876140","38024220","65824","1320","39663","15654","852","18.35","PUBG: BATTLEGROUNDS"
"23","Dota 2","Dota 2","2011410360","35969580","155576","1573","28700","45119","806","55.92","Dota 2"
"24","Rogue Company","Rogue Company","239146860","35311620","93304","1696","85399","5364","792","6.77","Rogue Company"
"25","NBA 2K21","NBA 2K21","512907420","34336740","91190","1798","48295","11505","770","14.94","NBA 2K21"
"26","Art","Art","502300020","32915760","32363","1125","50958","11267","738","15.26","Art"
"27","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","567598740","28545420","299927","9228","82845","12732","640","19.88","Call of Duty: Black Ops Cold War"
"28","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","716914800","27531960","241811","2953","108676","16081","617","26.04","Fall Guys: Ultimate Knockout"
"29","Madden NFL 21","Madden NFL 21","209652180","24264780","38117","1569","43540","4702","544","8.64","Madden NFL 21"
"30","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","92785440","20942820","38771","1563","40267","2081","469","4.43","Call Of Duty: Modern Warfare"
"31","Teamfight Tactics","Teamfight Tactics","1007652120","20291400","122784","735","36358","22603","455","49.66","Teamfight Tactics"
"32","Final Fantasy XIV Online","Final Fantasy XIV Online","134662320","15768000","31580","910","16312","3020","353","8.54","Final Fantasy XIV Online"
"33","Monster Hunter: World","Monster Hunter: World","257615160","14947380","41531","1265","20536","5778","335","17.23","Monster Hunter: World"
"34","Path of Exile","Path of Exile","703237800","14889960","50399","617","10170","15774","334","47.23","Path of Exile"
"35","Sea of Thieves","Sea of Thieves","165747960","14647020","28813","832","24640","3717","328","11.32","Sea of Thieves"
"36","Roblox","Roblox","68145300","13423980","53477","631","30776","1528","301","5.08","Roblox"
"37","Red Dead Redemption 2","Red Dead Redemption 2","109248420","12841920","38316","535","18890","2450","288","8.51","Red Dead Redemption 2"
"38","Pokémon Sword/Shield","Pokémon Sword/Shield","343514640","11764920","69601","1855","15843","7705","263","29.2","Pokémon Sword/Shield"
"39","Ghost of Tsushima","Ghost of Tsushima","75947580","11702820","42640","1205","18294","1703","262","6.49","Ghost of Tsushima"
"40","SMITE","SMITE","241504620","11584080","24937","532","15667","5417","259","20.85","SMITE"
"41","Ark: Survival Evolved","Ark: Survival Evolved","86587860","11440680","5816","548","15150","1942","256","7.57","Ark: Survival Evolved"
"42","Hearthstone","Hearthstone","1456280940","11403780","142885","492","14247","32666","255","127.7","Hearthstone"
"43","DayZ","DayZ","199221180","11221860","11828","463","12883","4468","251","17.75","DayZ"
"44","Garena Free Fire","Garena Free Fire","656790480","11108700","99384","519","15755","14732","249","59.12","Garena Free Fire"
"45","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","81241500","11015220","25048","467","16164","1822","247","7.38","Call of Duty: Black Ops 4"
"46","Science & Technology","Science & Technology","153067320","10995300","24410","394","8883","3433","246","13.92","Science & Technology"
"47","osu!","osu!","82086120","10948680","12846","435","29366","1841","245","7.5","osu!"
"48","Call of Duty: Black Ops III","Call of Duty: Black Ops III","84882960","9881820","64809","476","23223","1904","221","8.59","Call of Duty: Black Ops III"
"49","Rust","Rust","190878420","9869460","13051","574","13628","4281","221","19.34","Rust"
"50","Hades","Hades","304309320","9528600","43308","406","19661","6826","213","31.94","Hades"
