"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","6703998900","581198640","2331987","115814","733031","155400","13472","11.53","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","5210196600","325509660","397249","13985","384367","120774","7545","16.01","Call of Duty: Warzone"
"3","VALORANT","VALORANT","3333600360","238201680","250805","14194","331747","77274","5521","13.99","VALORANT"
"4","League of Legends","League of Legends","8597417760","179843520","556963","7519","215394","199291","4168","47.8","League of Legends"
"5","Just Chatting","Just Chatting","10480909740","146334780","777678","12126","310815","242951","3392","71.62","Just Chatting"
"6","Apex Legends","Apex Legends","1715735400","119685240","100600","4710","154296","39771","2774","14.34","Apex Legends"
"7","Minecraft","Minecraft","2332695360","103684320","397172","4747","214199","54072","2403","22.5","Minecraft"
"8","Grand Theft Auto V","Grand Theft Auto V","6031982100","100871940","389147","4500","145049","139823","2338","59.8","Grand Theft Auto V"
"9","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4560079920","84221340","499919","4209","149577","105704","1952","54.14","Counter-Strike: Global Offensive"
"10","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","720833580","76780260","49198","3779","133945","16709","1779","9.39","Tom Clancy's Rainbow Six Siege"
"11","World of Warcraft","World of Warcraft","1944034080","67188120","137907","4178","59924","45063","1557","28.93","World of Warcraft"
"12","Dead by Daylight","Dead by Daylight","1028636400","55213440","83669","2915","74973","23844","1279","18.63","Dead by Daylight"
"13","Escape from Tarkov","Escape from Tarkov","4672609620","55208460","304888","2408","39629","108312","1279","84.64","Escape from Tarkov"
"14","Overwatch","Overwatch","921846600","49178220","68028","1756","78735","21368","1139","18.75","Overwatch"
"15","Destiny 2","Destiny 2","632812140","42777360","289529","6800","50306","14668","991","14.79","Destiny 2"
"16","FIFA 20","FIFA 20","1479102960","39098940","205599","2865","77416","34286","906","37.83","FIFA 20"
"17","Music","Music","1087892520","38100660","173802","1806","38285","25217","883","28.55","Music"
"18","NBA 2K20","NBA 2K20","582979740","37953180","91296","2188","55185","13513","879","15.36","NBA 2K20"
"19","Dota 2","Dota 2","2470626840","34148820","212444","1490","27354","57269","791","72.35","Dota 2"
"20","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","748276200","30524340","80565","1061","34621","17345","707","24.51","PUBG: BATTLEGROUNDS"
"21","The Last of Us Part II","The Last of Us Part II","1771625100","29469540","508463","5893","68587","41066","683","60.12","The Last of Us Part II"
"22","Sea of Thieves","Sea of Thieves","784473660","28786380","63429","1447","42558","18184","667","27.25","Sea of Thieves"
"23","Rocket League","Rocket League","372052560","27940200","71629","1117","76014","8624","647","13.32","Rocket League"
"24","Art","Art","417335340","26914920","30805","938","40716","9673","623","15.51","Art"
"25","Teamfight Tactics","Teamfight Tactics","838986900","16937160","50374","945","32964","19448","392","49.54","Teamfight Tactics"
"26","Ark: Survival Evolved","Ark: Survival Evolved","165107520","16360800","32686","806","21832","3827","379","10.09","Ark: Survival Evolved"
"27","Path of Exile","Path of Exile","782968380","15674280","136329","3911","13311","18149","363","49.95","Path of Exile"
"28","The Last of Us","The Last of Us","376290660","14573340","124711","1266","14176","8722","337","25.82","The Last of Us"
"29","Final Fantasy XIV Online","Final Fantasy XIV Online","129603840","13935720","15257","886","14712","3004","323","9.3","Final Fantasy XIV Online"
"30","Roblox","Roblox","71417280","13531980","6827","536","30137","1655","313","5.28","Roblox"
"31","Madden NFL 20","Madden NFL 20","125026800","13210620","36494","818","23227","2898","306","9.46","Madden NFL 20"
"32","Minecraft Dungeons","Minecraft Dungeons","125154480","12778080","33762","1460","36229","2901","296","9.79","Minecraft Dungeons"
"33","Red Dead Redemption 2","Red Dead Redemption 2","190852380","12298440","46850","487","18229","4424","285","15.52","Red Dead Redemption 2"
"34","Terraria","Terraria","314824500","11738460","37539","659","21963","7297","272","26.82","Terraria"
