"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"35","Pokémon Sword/Shield","Pokémon Sword/Shield","362828160","11611020","115043","2345","16206","8410","269","31.25","Pokémon Sword/Shield"
"36","osu!","osu!","72818400","10763400","9802","415","27334","1687","249","6.77","osu!"
"37","SMITE","SMITE","231348360","10575300","25557","514","14889","5362","245","21.88","SMITE"
"38","Rust","Rust","258561060","10174440","44671","725","14303","5993","235","25.41","Rust"
"39","Animal Crossing: New Horizons","Animal Crossing: New Horizons","271821960","10155180","24104","541","17257","6300","235","26.77","Animal Crossing: New Horizons"
"40","Garena Free Fire","Garena Free Fire","455235000","10042560","89514","526","10254","10552","232","45.33","Garena Free Fire"
"41","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","42597420","9927900","8866","415","13986","987","230","4.29","Call of Duty: Black Ops 4"
"42","Hearthstone","Hearthstone","1202822820","9773220","126693","419","12361","27881","226","123.07","Hearthstone"
"43","Black Desert","Black Desert","201697020","9478620","10218","370","7919","4675","219","21.28","Black Desert"
"44","Dark Souls III","Dark Souls III","176395740","9223920","25730","364","17122","4088","213","19.12","Dark Souls III"
"45","Old School RuneScape","Old School RuneScape","368940660","8464080","28364","338","7646","8552","196","43.59","Old School RuneScape"
"46","Tibia","Tibia","241244400","8425740","11994","347","5420","5592","195","28.63","Tibia"
"47","Science & Technology","Science & Technology","118112400","8336760","18999","293","8382","2737","193","14.17","Science & Technology"
"48","Call of Duty: Black Ops III","Call of Duty: Black Ops III","36033480","8187240","7580","356","18201","835","189","4.4","Call of Duty: Black Ops III"
"49","World of Tanks","World of Tanks","206566560","7818060","33592","406","7454","4788","181","26.42","World of Tanks"
"50","Super Smash Bros. Ultimate","Super Smash Bros. Ultimate","175435980","7815180","84802","1627","12885","4066","181","22.45","Super Smash Bros. Ultimate"
