"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Call of Duty: Warzone","Call of Duty: Warzone","4434780480","383816700","363931","17370","422050","102799","8897","11.55","Call of Duty: Warzone"
"2","Fortnite","Fortnite","4669447980","375935940","271740","17083","561921","108239","8714","12.42","Fortnite"
"3","League of Legends","League of Legends","8100493320","190480500","794857","6737","230335","187772","4415","42.53","League of Legends"
"4","Just Chatting","Just Chatting","10122417120","153048720","650779","8045","332334","234641","3547","66.14","Just Chatting"
"5","Among Us","Among Us","8827934880","150464100","745468","12317","410661","204634","3487","58.67","Among Us"
"6","VALORANT","VALORANT","2246881740","129593160","155402","5330","196434","52083","3004","17.34","VALORANT"
"7","Apex Legends","Apex Legends","1474973400","109176060","78679","3868","144309","34190","2530","13.51","Apex Legends"
"8","Minecraft","Minecraft","2343382080","92942280","431196","3771","203417","54320","2154","25.21","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","3537012120","73700820","318681","3147","98039","81989","1708","47.99","Grand Theft Auto V"
"10","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","664990320","73320780","48552","3522","137597","15414","1699","9.07","Tom Clancy's Rainbow Six Siege"
"11","World of Warcraft","World of Warcraft","1699965300","64665540","114189","3889","62389","39405","1498","26.29","World of Warcraft"
"12","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","2163267180","62890440","617661","4498","223720","50145","1457","34.4","Fall Guys: Ultimate Knockout"
"13","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3217388220","61792260","306910","2620","114511","74580","1432","52.07","Counter-Strike: Global Offensive"
"14","Dead by Daylight","Dead by Daylight","1289552340","61593600","87686","2682","85128","29892","1427","20.94","Dead by Daylight"
"15","NBA 2K21","NBA 2K21","871698480","53630280","112997","6873","68466","20206","1243","16.25","NBA 2K21"
"16","Overwatch","Overwatch","778892160","45088260","58428","1725","74060","18054","1045","17.27","Overwatch"
"17","Rocket League","Rocket League","844063920","42316440","136304","3520","151620","19565","980","19.95","Rocket League"
"18","Music","Music","1167198420","40714680","125133","1560","32892","27056","943","28.67","Music"
"19","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","688050060","38445780","70332","1419","45178","15949","891","17.9","PUBG: BATTLEGROUNDS"
"20","Destiny 2","Destiny 2","378403440","37883940","30941","1848","46274","8771","878","9.99","Destiny 2"
"21","Escape from Tarkov","Escape from Tarkov","734171160","35368560","99336","1333","27034","17018","819","20.76","Escape from Tarkov"
"22","Dota 2","Dota 2","2286460680","33069900","269456","1402","26860","53000","766","69.14","Dota 2"
"23","Art","Art","471603600","30433380","109701","1051","46893","10931","705","15.5","Art"
"24","Marvel's Avengers","Marvel's Avengers","430760940","24174180","200219","2451","34343","9985","560","17.82","Marvel's Avengers"
"25","Teamfight Tactics","Teamfight Tactics","1135880940","22239240","115620","1567","40534","26330","515","51.08","Teamfight Tactics"
"26","Spellbreak","Spellbreak","339911640","21965640","68957","1472","64245","7879","509","15.47","Spellbreak"
"27","Madden NFL 21","Madden NFL 21","210984360","19580580","36842","1439","36362","4890","453","10.78","Madden NFL 21"
"28","Sea of Thieves","Sea of Thieves","231242580","18529680","35432","1046","29793","5360","429","12.48","Sea of Thieves"
"29","Genshin Impact","Genshin Impact","363382860","18201540","212270","5761","46276","8423","421","19.96","Genshin Impact"
"30","Final Fantasy XIV Online","Final Fantasy XIV Online","179100300","18084420","30134","1032","18829","4151","419","9.9","Final Fantasy XIV Online"
"31","FIFA 20","FIFA 20","239429400","16245000","27552","863","35493","5550","376","14.74","FIFA 20"
"32","Path of Exile","Path of Exile","750865320","15287640","141391","3697","12906","17405","354","49.12","Path of Exile"
"33","DayZ","DayZ","555084660","13903080","69758","624","16937","12867","322","39.93","DayZ"
"34","Roblox","Roblox","63231420","12570000","11151","650","28964","1465","291","5.03","Roblox"
"35","Red Dead Redemption 2","Red Dead Redemption 2","128079720","12160560","18066","505","16841","2968","281","10.53","Red Dead Redemption 2"
"36","Ark: Survival Evolved","Ark: Survival Evolved","85339500","12062280","5353","482","13425","1978","279","7.07","Ark: Survival Evolved"
"37","SMITE","SMITE","243749040","11965500","22614","538","16135","5650","277","20.37","SMITE"
"38","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","90097560","11627160","33468","482","17278","2088","269","7.75","Call of Duty: Black Ops 4"
"39","osu!","osu!","79784880","11106660","11685","468","29504","1849","257","7.18","osu!"
"40","Black Desert","Black Desert","318025860","10567020","31153","510","9305","7371","244","30.1","Black Desert"
"41","Hearthstone","Hearthstone","1251837540","10368060","86009","527","13477","29018","240","120.74","Hearthstone"
"42","Warframe","Warframe","142985520","10138980","129996","429","13228","3314","235","14.1","Warframe"
"43","Monster Hunter: World","Monster Hunter: World","101913000","9664260","11708","368","15169","2362","224","10.55","Monster Hunter: World"
"44","Rust","Rust","197809920","9362220","32378","606","13205","4585","217","21.13","Rust"
"45","Science & Technology","Science & Technology","129930240","9327300","24586","339","8372","3011","216","13.93","Science & Technology"
"46","Rogue Company","Rogue Company","97668480","9232920","31172","585","18834","2263","214","10.58","Rogue Company"
"47","NBA 2K20","NBA 2K20","44565300","7983240","11841","1079","18054","1033","185","5.58","NBA 2K20"
"48","Retro","Retro","196230060","7885980","19373","358","8811","4548","182","24.88","Retro"
"49","Dark Souls III","Dark Souls III","121449540","7804500","22247","293","14405","2815","180","15.56","Dark Souls III"
"50","Tibia","Tibia","192854400","7785240","9301","363","5149","4470","180","24.77","Tibia"
