"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","3974952360","285008400","289330","12948","497697","89164","6393","13.95","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","5787571740","256362360","520918","13777","474044","129824","5750","22.58","Call of Duty: Warzone"
"3","League of Legends","League of Legends","7415993100","183763200","421581","8390","252555","166352","4122","40.36","League of Legends"
"4","Just Chatting","Just Chatting","6720239160","108513720","360279","4180","248185","150745","2434","61.93","Just Chatting"
"5","Apex Legends","Apex Legends","1322141160","103359480","118822","3895","183683","29657","2318","12.79","Apex Legends"
"6","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4007861940","90697140","828949","4667","197089","89902","2034","44.19","Counter-Strike: Global Offensive"
"7","Minecraft","Minecraft","1378225800","70134360","225095","3744","183753","30915","1573","19.65","Minecraft"
"8","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","784271640","68614080","69354","3068","152219","17592","1539","11.43","Tom Clancy's Rainbow Six Siege"
"9","World of Warcraft","World of Warcraft","1220240400","65773860","73509","4060","65578","27371","1475","18.55","World of Warcraft"
"10","Grand Theft Auto V","Grand Theft Auto V","3370444020","63365880","184708","3278","110705","75604","1421","53.19","Grand Theft Auto V"
"11","Escape from Tarkov","Escape from Tarkov","1633977240","55693320","173904","2238","49014","36652","1249","29.34","Escape from Tarkov"
"12","Overwatch","Overwatch","935725920","52232400","194372","1983","98914","20989","1171","17.91","Overwatch"
"13","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","826530720","37393740","72358","1359","57987","18540","838","22.1","PUBG: BATTLEGROUNDS"
"14","Destiny 2","Destiny 2","556027920","37164300","85865","2334","50146","12472","833","14.96","Destiny 2"
"15","Dead by Daylight","Dead by Daylight","714679860","35802660","50220","1458","55228","16031","803","19.96","Dead by Daylight"
"16","Dota 2","Dota 2","2510948280","32653680","164524","1490","35212","56324","732","76.9","Dota 2"
"17","Animal Crossing: New Horizons","Animal Crossing: New Horizons","1849969620","27318480","244171","4403","40068","41497","612","67.72","Animal Crossing: New Horizons"
"18","Rocket League","Rocket League","629883540","25342500","189258","1518","83660","14129","568","24.85","Rocket League"
"19","FIFA 20","FIFA 20","1189249380","25175400","227013","2196","62395","26676","564","47.24","FIFA 20"
"20","Music","Music","602946720","24546900","137303","1404","29752","13525","550","24.56","Music"
"21","Art","Art","348760500","22260180","24127","886","39865","7823","499","15.67","Art"
"22","NBA 2K20","NBA 2K20","223891020","19931700","40615","1159","44954","5022","447","11.23","NBA 2K20"
"23","DOOM Eternal","DOOM Eternal","616541340","19930620","140962","4196","48508","13829","447","30.93","DOOM Eternal"
"24","Teamfight Tactics","Teamfight Tactics","819050220","18314340","57503","1194","44779","18372","410","44.72","Teamfight Tactics"
"25","Path of Exile","Path of Exile","835578480","17543880","117037","3236","17070","18743","393","47.63","Path of Exile"
"26","Tom Clancy's The Division 2","Tom Clancy's The Division 2","226870380","15895020","72816","1074","30434","5089","356","14.27","Tom Clancy's The Division 2"
"27","Final Fantasy XIV Online","Final Fantasy XIV Online","114835740","14430300","11083","1144","16591","2575","323","7.96","Final Fantasy XIV Online"
"28","Monster Hunter: World","Monster Hunter: World","179223120","13866120","22233","764","21266","4020","311","12.93","Monster Hunter: World"
"29","Ark: Survival Evolved","Ark: Survival Evolved","181470420","13530180","23061","625","16504","4070","303","13.41","Ark: Survival Evolved"
"30","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","79987620","11566500","40253","674","21245","1794","259","6.92","Call of Duty: Black Ops 4"
"31","Black Desert","Black Desert","214711980","10565580","13271","359","11948","4816","237","20.32","Black Desert"
"32","Hearthstone","Hearthstone","1434568560","10529580","108476","433","17509","32179","236","136.24","Hearthstone"
"33","Sea of Thieves","Sea of Thieves","128035140","10417500","32892","703","20210","2872","233","12.29","Sea of Thieves"
"34","Madden NFL 20","Madden NFL 20","81189660","10287720","18831","679","23789","1821","230","7.89","Madden NFL 20"
"35","Rust","Rust","299299740","9814500","24070","494","16495","6713","220","30.5","Rust"
"36","World of Tanks","World of Tanks","240862260","9121620","23233","454","10943","5402","204","26.41","World of Tanks"
"37","Nioh 2","Nioh 2","563742120","9033660","123868","754","10544","12645","202","62.4","Nioh 2"
"38","Ori and the Will of the Wisps","Ori and the Will of the Wisps","249981600","8526240","68414","1502","18078","5607","191","29.32","Ori and the Will of the Wisps"
"39","osu!","osu!","52486980","8321940","7016","363","26592","1177","186","6.31","osu!"
"40","Roblox","Roblox","37239720","8055360","3125","528","25430","835","180","4.62","Roblox"
"41","SMITE","SMITE","171559620","7879860","12149","378","14324","3848","176","21.77","SMITE"
"42","Borderlands 3","Borderlands 3","62731680","7234140","10733","597","16216","1407","162","8.67","Borderlands 3"
"43","Red Dead Redemption 2","Red Dead Redemption 2","48590400","7072560","15095","309","15647","1089","158","6.87","Red Dead Redemption 2"
"44","Old School RuneScape","Old School RuneScape","299092980","6887280","21516","296","7750","6709","154","43.43","Old School RuneScape"
