"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","3328534980","238553940","273169","11837","427073","79820","5720","13.95","Fortnite"
"2","League of Legends","League of Legends","7298153340","152957520","412216","7253","211492","175015","3668","47.71","League of Legends"
"3","Apex Legends","Apex Legends","1698088500","117762120","283368","7923","204742","40721","2824","14.42","Apex Legends"
"4","Just Chatting","Just Chatting","5387974260","82740360","309048","2849","195799","129208","1984","65.12","Just Chatting"
"5","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2987787060","68106360","614792","3212","154126","71649","1633","43.87","Counter-Strike: Global Offensive"
"6","Escape from Tarkov","Escape from Tarkov","2937843060","65731200","208360","2443","60704","70451","1576","44.69","Escape from Tarkov"
"7","World of Warcraft","World of Warcraft","1904446800","60553020","293197","4240","61087","45670","1452","31.45","World of Warcraft"
"8","Call of Duty: Warzone","Call of Duty: Warzone","539350080","57619740","73905","3467","134630","12934","1381","9.36","Call of Duty: Warzone"
"9","Grand Theft Auto V","Grand Theft Auto V","2605411980","55041300","132945","2661","100907","62479","1319","47.34","Grand Theft Auto V"
"10","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1060899960","53194620","234650","2407","124016","25441","1275","19.94","Tom Clancy's Rainbow Six Siege"
"11","Minecraft","Minecraft","1033528920","47852220","128086","2207","129650","24784","1147","21.6","Minecraft"
"12","Overwatch","Overwatch","920268180","44643840","89447","1648","83070","22068","1070","20.61","Overwatch"
"13","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","838219980","43937340","61324","1852","68692","20101","1053","19.08","PUBG: BATTLEGROUNDS"
"14","Dead by Daylight","Dead by Daylight","628526700","29849700","56698","1083","45723","15072","715","21.06","Dead by Daylight"
"15","Dota 2","Dota 2","2098300320","26215500","236718","1176","29417","50318","628","80.04","Dota 2"
"16","Destiny 2","Destiny 2","275068440","22076520","19157","1005","35308","6596","529","12.46","Destiny 2"
"17","Rocket League","Rocket League","519348480","20379120","152454","885","66909","12454","488","25.48","Rocket League"
"18","FIFA 20","FIFA 20","991345740","18191160","117164","1091","41810","23773","436","54.5","FIFA 20"
"19","Art","Art","295572720","17896560","15098","648","31702","7088","429","16.52","Art"
"20","Music","Music","304601100","17620680","38075","561","14177","7304","422","17.29","Music"
"21","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","188499420","17204940","32038","741","23271","4520","412","10.96","Call of Duty: Black Ops 4"
"22","Final Fantasy XIV Online","Final Fantasy XIV Online","166897500","15684960","35026","1586","16019","4002","376","10.64","Final Fantasy XIV Online"
"23","NBA 2K20","NBA 2K20","170692680","13737780","28303","723","28686","4093","329","12.43","NBA 2K20"
"24","Monster Hunter: World","Monster Hunter: World","210403380","12890040","16068","542","19349","5045","309","16.32","Monster Hunter: World"
"25","Wolcen: Lords of Mayhem","Wolcen: Lords of Mayhem","550114320","11458620","113848","1335","17192","13192","274","48.01","Wolcen: Lords of Mayhem"
"26","Madden NFL 20","Madden NFL 20","112165140","9353160","26588","643","22549","2689","224","11.99","Madden NFL 20"
"27","Tom Clancy's The Division 2","Tom Clancy's The Division 2","83040240","9323280","69659","658","27010","1991","223","8.91","Tom Clancy's The Division 2"
"28","Rust","Rust","286571640","9173160","30825","526","14473","6872","219","31.24","Rust"
"29","Ark: Survival Evolved","Ark: Survival Evolved","156767460","9119340","40993","815","12045","3759","218","17.19","Ark: Survival Evolved"
"30","World of Tanks","World of Tanks","241782120","8643960","20331","485","10672","5798","207","27.97","World of Tanks"
"31","Teamfight Tactics","Teamfight Tactics","337511220","8480760","27404","323","20546","8093","203","39.8","Teamfight Tactics"
"32","Black Desert","Black Desert","187794540","8402580","45234","407","9361","4503","201","22.35","Black Desert"
"33","Sea of Thieves","Sea of Thieves","129171960","8302680","40606","563","15832","3097","199","15.56","Sea of Thieves"
