"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"34","Hearthstone","Hearthstone","1150434120","8149740","81234","339","12881","27588","195","141.16","Hearthstone"
"35","Pokémon Sword/Shield","Pokémon Sword/Shield","191038620","7936200","15849","387","10495","4581","190","24.07","Pokémon Sword/Shield"
"36","Red Dead Redemption 2","Red Dead Redemption 2","54378960","7414500","14869","320","15253","1304","177","7.33","Red Dead Redemption 2"
"37","osu!","osu!","40851840","7135440","8433","312","24161","979","171","5.73","osu!"
"38","SMITE","SMITE","141708960","7110600","25843","320","12791","3398","170","19.93","SMITE"
"39","Path of Exile","Path of Exile","257591520","6380820","36630","334","8251","6177","153","40.37","Path of Exile"
"40","DayZ","DayZ","72924840","6366300","20476","305","10941","1748","152","11.45","DayZ"
"41","Farming Simulator 19","Farming Simulator 19","67013400","6280140","16503","557","13227","1607","150","10.67","Farming Simulator 19"
"42","Legends of Runeterra","Legends of Runeterra","243082020","6249360","32154","404","15452","5829","149","38.9","Legends of Runeterra"
"43","The Witcher 3: Wild Hunt","The Witcher 3: Wild Hunt","130032180","6214440","29669","344","13221","3118","149","20.92","The Witcher 3: Wild Hunt"
"44","Retro","Retro","111386820","5983500","7938","226","6920","2671","143","18.62","Retro"
"45","Roblox","Roblox","27153060","5908800","2589","299","19391","651","141","4.6","Roblox"
"46","Old School RuneScape","Old School RuneScape","264632220","5746260","29455","224","6843","6346","137","46.05","Old School RuneScape"
"47","Super Smash Bros. Ultimate","Super Smash Bros. Ultimate","232903740","5688180","115046","403","11241","5585","136","40.95","Super Smash Bros. Ultimate"
"48","Monster Hunter World: Iceborne","Monster Hunter World: Iceborne","31530480","5477880","4983","343","13491","756","131","5.76","Monster Hunter World: Iceborne"
"49","Dark Souls III","Dark Souls III","146288520","5380620","14657","229","11805","3508","129","27.19","Dark Souls III"
"50","Warframe","Warframe","51878520","5287380","47986","223","9023","1244","126","9.81","Warframe"
