"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","4977839160","369734940","488655","25246","563077","115388","8570","13.46","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","3011747580","247292340","247838","17727","322627","69813","5732","12.18","Call of Duty: Warzone"
"3","League of Legends","League of Legends","7265121060","203562540","345045","8877","254028","168407","4718","35.69","League of Legends"
"4","Apex Legends","Apex Legends","2615198100","176062560","266326","9790","241200","60621","4081","14.85","Apex Legends"
"5","Just Chatting","Just Chatting","14037635220","172065780","986105","6855","376893","325397","3988","81.58","Just Chatting"
"6","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","3046589340","150234180","544486","23867","202264","70620","3482","20.28","Call of Duty: Black Ops Cold War"
"7","Minecraft","Minecraft","4592436360","133860600","591072","6133","282145","106454","3102","34.31","Minecraft"
"8","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","488607480","124502100","161169","11495","206852","11326","2886","3.92","Call Of Duty: Modern Warfare"
"9","VALORANT","VALORANT","2467343880","119965980","145497","4730","182609","57193","2780","20.57","VALORANT"
"10","World of Warcraft","World of Warcraft","3280138620","102524520","933430","25791","93850","76034","2376","31.99","World of Warcraft"
"11","Destiny 2","Destiny 2","1080390420","83290860","402791","20975","78270","25043","1930","12.97","Destiny 2"
"12","Grand Theft Auto V","Grand Theft Auto V","3102772260","81587580","201218","4209","116010","71923","1891","38.03","Grand Theft Auto V"
"13","Among Us","Among Us","4617044760","79733460","776257","5274","250289","107024","1848","57.91","Among Us"
"14","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3642845760","77859540","551755","3544","139791","84442","1804","46.79","Counter-Strike: Global Offensive"
"15","Rocket League","Rocket League","1147923960","69629880","147604","3245","248683","26609","1614","16.49","Rocket League"
"16","Phasmophobia","Phasmophobia","822201120","67322520","132592","8907","163492","19058","1560","12.21","Phasmophobia"
"17","Dead by Daylight","Dead by Daylight","1157201460","59756340","94557","3242","84563","26824","1385","19.37","Dead by Daylight"
"18","FIFA 21","FIFA 21","2841883200","59221980","335704","4322","104490","65875","1372","47.99","FIFA 21"
"19","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","685760460","51014760","82802","2217","103334","15896","1182","13.44","Tom Clancy's Rainbow Six Siege"
"20","Genshin Impact","Genshin Impact","859844520","47848320","77425","3038","76037","19931","1109","17.97","Genshin Impact"
"21","Overwatch","Overwatch","724431000","44983140","42175","1786","76572","16792","1042","16.1","Overwatch"
"22","Assassin's Creed Valhalla","Assassin's Creed Valhalla","1513264620","44974500","284130","6749","62316","35077","1042","33.65","Assassin's Creed Valhalla"
"23","Music","Music","1189336920","43182300","156258","1886","42173","27569","1000","27.54","Music"
"24","Escape from Tarkov","Escape from Tarkov","973922100","39627120","131735","1506","29848","22575","918","24.58","Escape from Tarkov"
"25","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","822012360","38257380","74944","1363","41370","19054","886","21.49","PUBG: BATTLEGROUNDS"
"26","Dota 2","Dota 2","2457330180","37585860","222257","1585","30556","56961","871","65.38","Dota 2"
"27","Art","Art","547454760","32602140","35533","1113","51657","12690","755","16.79","Art"
"28","NBA 2K21","NBA 2K21","644963340","30998340","79724","1609","46969","14950","718","20.81","NBA 2K21"
"29","Rogue Company","Rogue Company","119247360","20984040","90438","1464","46564","2764","486","5.68","Rogue Company"
"30","Sea of Thieves","Sea of Thieves","205921080","17441640","42929","877","29024","4773","404","11.81","Sea of Thieves"
"31","Teamfight Tactics","Teamfight Tactics","797951760","16683480","47270","582","31758","18496","386","47.83","Teamfight Tactics"
"32","Roblox","Roblox","71286900","14506380","21892","1422","34742","1652","336","4.91","Roblox"
"33","Ark: Survival Evolved","Ark: Survival Evolved","118836960","14387640","27252","626","20083","2754","333","8.26","Ark: Survival Evolved"
"34","Madden NFL 21","Madden NFL 21","182894640","14248260","25824","1578","29634","4239","330","12.84","Madden NFL 21"
"35","Garena Free Fire","Garena Free Fire","573712800","13353600","99353","613","18942","13298","309","42.96","Garena Free Fire"
"36","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","316433220","13334640","247502","603","51787","7335","309","23.73","Fall Guys: Ultimate Knockout"
"37","Red Dead Redemption 2","Red Dead Redemption 2","94296120","13300140","27629","572","20393","2185","308","7.09","Red Dead Redemption 2"
"38","Final Fantasy XIV Online","Final Fantasy XIV Online","109573620","13177020","36989","765","14818","2539","305","8.32","Final Fantasy XIV Online"
"39","Hearthstone","Hearthstone","1701872100","12701220","113301","964","16215","39449","294","133.99","Hearthstone"
"40","Rust","Rust","378198780","12688680","50077","752","17076","8766","294","29.81","Rust"
"41","SMITE","SMITE","239750940","12265320","24941","579","16327","5557","284","19.55","SMITE"
"42","Marvel's Spider-Man: Miles Morales","Marvel's Spider-Man: Miles Morales","387808440","11705760","190903","1749","26812","8989","271","33.13","Marvel's Spider-Man: Miles Morales"
