"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","6521533500","433861680","1585293","129860","667652","146288","9732","15.03","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","601007640","247763580","43174","11277","299053","13481","5557","2.43","Call Of Duty: Modern Warfare"
"3","League of Legends","League of Legends","5784789900","197831820","318449","7979","247003","129761","4437","29.24","League of Legends"
"4","Just Chatting","Just Chatting","14914406880","188998500","1117874","8817","413135","334553","4239","78.91","Just Chatting"
"5","Minecraft","Minecraft","4328557140","164179320","591932","7060","346527","97096","3682","26.36","Minecraft"
"6","Cyberpunk 2077","Cyberpunk 2077","3820985400","155251020","1126038","35125","232288","85710","3482","24.61","Cyberpunk 2077"
"7","Apex Legends","Apex Legends","2128336320","152162880","149460","5828","208690","47741","3413","13.99","Apex Legends"
"8","Call of Duty: Warzone","Call of Duty: Warzone","3950697900","147634320","343398","7996","174916","88620","3311","26.76","Call of Duty: Warzone"
"9","World of Warcraft","World of Warcraft","5412148800","140630880","411898","11273","108723","121403","3154","38.48","World of Warcraft"
"10","VALORANT","VALORANT","2542506480","130449600","286887","4958","197181","57032","2926","19.49","VALORANT"
"11","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","1092680760","109793580","103314","5757","176857","24510","2462","9.95","Call of Duty: Black Ops Cold War"
"12","Grand Theft Auto V","Grand Theft Auto V","3702547860","108456120","262859","6530","172265","83054","2432","34.14","Grand Theft Auto V"
"13","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3645421260","85581900","387473","3961","154721","81772","1919","42.6","Counter-Strike: Global Offensive"
"14","Rocket League","Rocket League","1341221040","74768880","139113","3372","265728","30085","1677","17.94","Rocket League"
"15","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","662444100","62958660","63981","2589","124865","14859","1412","10.52","Tom Clancy's Rainbow Six Siege"
"16","Dead by Daylight","Dead by Daylight","1198904340","62908380","79655","2857","83419","26893","1411","19.06","Dead by Daylight"
"17","Escape from Tarkov","Escape from Tarkov","3423720300","59927880","418894","3710","45168","76799","1344","57.13","Escape from Tarkov"
"18","FIFA 21","FIFA 21","2586631560","54121140","304406","3646","102912","58022","1214","47.79","FIFA 21"
"19","Among Us","Among Us","3026121780","53890260","493501","3332","178817","67880","1208","56.15","Among Us"
"20","Overwatch","Overwatch","815826600","47925660","95650","2056","82400","18300","1075","17.02","Overwatch"
"21","Music","Music","1313591040","46990560","152685","2892","45618","29465","1054","27.95","Music"
"22","Destiny 2","Destiny 2","482553120","46425240","55622","2931","56761","10824","1041","10.39","Destiny 2"
"23","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","674827380","39954780","78588","1364","43142","15137","896","16.89","PUBG: BATTLEGROUNDS"
"24","Genshin Impact","Genshin Impact","763280760","39604620","98644","3349","60414","17121","888","19.27","Genshin Impact"
"25","Phasmophobia","Phasmophobia","415322040","38354280","88767","2373","110260","9316","860","10.83","Phasmophobia"
"26","Dota 2","Dota 2","2572899840","37869360","243589","1506","30337","57714","849","67.94","Dota 2"
"27","Art","Art","545122560","33108180","109763","1130","53957","12227","742","16.46","Art"
"28","NBA 2K21","NBA 2K21","344682420","31872600","151940","1555","46862","7731","714","10.81","NBA 2K21"
"29","Final Fantasy XIV Online","Final Fantasy XIV Online","206698020","26129220","29413","2459","21285","4636","586","7.91","Final Fantasy XIV Online"
"30","Sea of Thieves","Sea of Thieves","252076380","19119900","57023","1151","33662","5654","428","13.18","Sea of Thieves"
"31","Roblox","Roblox","97140180","17244660","127222","692","41648","2179","386","5.63","Roblox"
"32","Red Dead Redemption 2","Red Dead Redemption 2","100598460","16646340","27213","739","27546","2256","373","6.04","Red Dead Redemption 2"
"33","Ark: Survival Evolved","Ark: Survival Evolved","119070840","16239660","14509","695","22907","2670","364","7.33","Ark: Survival Evolved"
"34","Assassin's Creed Valhalla","Assassin's Creed Valhalla","164868600","15215460","37260","1073","31710","3698","341","10.84","Assassin's Creed Valhalla"
"35","Rust","Rust","1152551700","15113820","330443","877","21980","25853","339","76.26","Rust"
"36","Madden NFL 21","Madden NFL 21","182359980","15096720","109879","880","27007","4090","338","12.08","Madden NFL 21"
"37","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","368448600","14727900","307786","1210","53766","8264","330","25.02","Fall Guys: Ultimate Knockout"
"38","Teamfight Tactics","Teamfight Tactics","620639640","14516820","43424","510","27691","13921","325","42.75","Teamfight Tactics"
"39","Garena Free Fire","Garena Free Fire","670853040","14317140","301456","612","20425","15048","321","46.86","Garena Free Fire"
"40","DayZ","DayZ","486891600","14169000","59851","605","17342","10921","317","34.36","DayZ"
"41","Rogue Company","Rogue Company","80170320","12962340","41768","688","27958","1798","290","6.18","Rogue Company"
"42","World of Tanks","World of Tanks","412246620","12833580","38278","655","11872","9247","287","32.12","World of Tanks"
"43","osu!","osu!","85239960","12132240","35849","436","32173","1912","272","7.03","osu!"
"44","SMITE","SMITE","210655320","12012540","12971","555","16680","4725","269","17.54","SMITE"
"45","Hearthstone","Hearthstone","1543217940","11716800","84878","480","14402","34616","262","131.71","Hearthstone"
"46","Dark Souls III","Dark Souls III","115342380","10506240","12053","467","20488","2587","235","10.98","Dark Souls III"
"47","Science & Technology","Science & Technology","128738460","10250760","11872","360","8805","2887","229","12.56","Science & Technology"
"48","Black Desert","Black Desert","285860760","9596700","37514","554","8159","6412","215","29.79","Black Desert"
"49","Stardew Valley","Stardew Valley","151501920","9298560","30624","715","23020","3398","208","16.29","Stardew Valley"
"50","Eternal Return","Eternal Return","519515280","8913960","85642","568","10967","11653","199","58.28","Eternal Return"
