"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"22","Rocket League","Rocket League","384289740","30193080","37288","1125","81236","8620","677","12.73","Rocket League"
"23","Art","Art","463240980","29054280","21218","1006","43954","10391","651","15.94","Art"
"24","Sea of Thieves","Sea of Thieves","358341300","20948040","41888","905","33636","8038","469","17.11","Sea of Thieves"
"25","Hyper Scape","Hyper Scape","856281660","20706300","456629","2136","60778","19207","464","41.35","Hyper Scape"
"26","Roblox","Roblox","89159280","16282980","13013","586","35538","1999","365","5.48","Roblox"
"27","Rogue Company","Rogue Company","337205940","16103940","97100","2158","40425","7564","361","20.94","Rogue Company"
"28","Final Fantasy XIV Online","Final Fantasy XIV Online","140778960","15117120","41554","920","15714","3157","339","9.31","Final Fantasy XIV Online"
"29","Path of Exile","Path of Exile","615524340","14895960","50665","611","10103","13807","334","41.32","Path of Exile"
"30","Monster Hunter: World","Monster Hunter: World","225756480","14655300","34374","1152","20530","5064","328","15.4","Monster Hunter: World"
"31","Ark: Survival Evolved","Ark: Survival Evolved","125329440","14369700","18359","571","15586","2811","322","8.72","Ark: Survival Evolved"
"32","Red Dead Redemption 2","Red Dead Redemption 2","134730300","14079600","13455","842","20422","3022","315","9.57","Red Dead Redemption 2"
"33","SMITE","SMITE","292139460","13826580","28440","681","19476","6553","310","21.13","SMITE"
"34","Teamfight Tactics","Teamfight Tactics","664212840","13217580","112915","482","26957","14899","296","50.25","Teamfight Tactics"
"35","Madden NFL 20","Madden NFL 20","94394520","13153080","22152","808","25456","2117","295","7.18","Madden NFL 20"
"36","Rust","Rust","296174280","12272280","40911","741","17294","6643","275","24.13","Rust"
"37","Halo: The Master Chief Collection","Halo: The Master Chief Collection","148656360","11898900","56362","1111","24965","3334","266","12.49","Halo: The Master Chief Collection"
"38","osu!","osu!","88077300","11415960","14550","406","28354","1975","256","7.72","osu!"
"39","The Last of Us Part II","The Last of Us Part II","206106900","11360100","30007","942","31673","4623","254","18.14","The Last of Us Part II"
"40","Dark Souls III","Dark Souls III","258941700","11010960","26973","415","19717","5808","246","23.52","Dark Souls III"
"41","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","57366000","10921740","38970","424","14549","1286","244","5.25","Call of Duty: Black Ops 4"
"42","Hearthstone","Hearthstone","1300363800","10024980","72440","363","12587","29169","224","129.71","Hearthstone"
"43","Diablo III","Diablo III","163844880","9725940","28302","1563","13483","3675","218","16.85","Diablo III"
"44","Animal Crossing: New Horizons","Animal Crossing: New Horizons","232692780","9399960","43056","681","16671","5219","210","24.75","Animal Crossing: New Horizons"
"45","Science & Technology","Science & Technology","165277140","9319680","24548","330","8898","3707","209","17.73","Science & Technology"
"46","7 Days to Die","7 Days to Die","134828460","9298200","23930","411","10624","3024","208","14.5","7 Days to Die"
"47","Black Desert","Black Desert","240419280","9160980","27341","303","7839","5392","205","26.24","Black Desert"
"48","Old School RuneScape","Old School RuneScape","350183940","8745900","19120","312","7764","7855","196","40.04","Old School RuneScape"
"49","DayZ","DayZ","140719860","8566380","34790","356","10483","3156","192","16.43","DayZ"
"50","Tibia","Tibia","265573260","8523720","17516","377","5446","5957","191","31.16","Tibia"
