"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","6318348840","532939980","328230","21039","681016","141730","11954","11.86","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","5264890620","387310440","357124","16641","420466","118099","8687","13.59","Call of Duty: Warzone"
"3","VALORANT","VALORANT","3410453580","216509160","151120","8081","285520","76501","4856","15.75","VALORANT"
"4","League of Legends","League of Legends","8107396320","194919000","494759","7246","223201","181861","4372","41.59","League of Legends"
"5","Just Chatting","Just Chatting","10961322120","154973880","573912","5586","324606","245879","3476","70.73","Just Chatting"
"6","Minecraft","Minecraft","3171886860","124860360","443809","4437","248121","71150","2800","25.4","Minecraft"
"7","Apex Legends","Apex Legends","1440086160","120205860","181143","4158","156699","32303","2696","11.98","Apex Legends"
"8","Grand Theft Auto V","Grand Theft Auto V","5647798200","96864120","378519","3752","130521","126689","2172","58.31","Grand Theft Auto V"
"9","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","778600860","81935280","47393","2863","144626","17465","1837","9.5","Tom Clancy's Rainbow Six Siege"
"10","World of Warcraft","World of Warcraft","2114612820","71968620","247146","3821","64159","47434","1614","29.38","World of Warcraft"
"11","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2514146520","71222520","197934","3034","126894","56396","1597","35.3","Counter-Strike: Global Offensive"
"12","Dead by Daylight","Dead by Daylight","1142059320","61087020","65116","2138","81765","25618","1370","18.7","Dead by Daylight"
"13","Overwatch","Overwatch","1042083120","53030100","70577","1879","81725","23375","1189","19.65","Overwatch"
"14","Destiny 2","Destiny 2","588089580","50443980","52632","2406","54420","13191","1131","11.66","Destiny 2"
"15","Ghost of Tsushima","Ghost of Tsushima","1281468600","49085640","312594","5993","55600","28745","1101","26.11","Ghost of Tsushima"
"16","NBA 2K20","NBA 2K20","607622460","47137980","76626","2079","70302","13629","1057","12.89","NBA 2K20"
"17","Escape from Tarkov","Escape from Tarkov","1211987520","44625780","78327","1841","33086","27186","1001","27.16","Escape from Tarkov"
"18","Music","Music","1124054520","38095380","123955","1461","36181","25214","854","29.51","Music"
"19","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","703251780","35381280","57693","1220","36800","15775","793","19.88","PUBG: BATTLEGROUNDS"
"20","Dota 2","Dota 2","2154415680","34272660","193157","1301","27565","48326","768","62.86","Dota 2"
"21","FIFA 20","FIFA 20","856215300","30298260","87350","1621","56403","19206","679","28.26","FIFA 20"
