"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"27","Final Fantasy XIV Online","Final Fantasy XIV Online","203878140","20094300","19206","1521","21528","4573","450","10.15","Final Fantasy XIV Online"
"28","Sea of Thieves","Sea of Thieves","252191100","19189620","46219","844","31000","5657","430","13.14","Sea of Thieves"
"29","Hyper Scape","Hyper Scape","248956380","17076840","124014","1796","47132","5584","383","14.58","Hyper Scape"
"30","Roblox","Roblox","79408920","15920220","6311","590","35109","1781","357","4.99","Roblox"
"31","Red Dead Redemption 2","Red Dead Redemption 2","110385300","15250080","9385","637","20736","2476","342","7.24","Red Dead Redemption 2"
"32","SMITE","SMITE","308806260","13482120","25241","595","18501","6927","302","22.9","SMITE"
"33","Ark: Survival Evolved","Ark: Survival Evolved","96946080","13233480","5719","533","13889","2174","296","7.33","Ark: Survival Evolved"
"34","Remnant: From the Ashes","Remnant: From the Ashes","111339360","12342660","52768","976","27987","2497","276","9.02","Remnant: From the Ashes"
"35","osu!","osu!","95189940","11997240","9576","441","30337","2135","269","7.93","osu!"
"36","Warframe","Warframe","373156440","11888580","433443","1352","14877","8370","266","31.39","Warframe"
"37","Hearthstone","Hearthstone","1520489100","11440200","115789","941","14666","34106","256","132.91","Hearthstone"
"38","Teamfight Tactics","Teamfight Tactics","536104380","11347740","90594","415","23579","12025","254","47.24","Teamfight Tactics"
"39","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","59890080","11118000","20652","450","15599","1343","249","5.39","Call of Duty: Black Ops 4"
"40","Rust","Rust","263049600","10995000","48044","667","15124","5900","246","23.92","Rust"
"41","Horizon Zero Dawn","Horizon Zero Dawn","279958620","10629480","91067","1658","16500","6279","238","26.34","Horizon Zero Dawn"
"42","Monster Hunter: World","Monster Hunter: World","120221520","10347660","28881","504","15880","2696","232","11.62","Monster Hunter: World"
"43","New World","New World","668004060","9962280","344240","2986","17706","14984","223","67.05","New World"
"44","Halo: The Master Chief Collection","Halo: The Master Chief Collection","73994700","9657120","10487","693","19589","1659","216","7.66","Halo: The Master Chief Collection"
"45","Grounded","Grounded","156273000","9446880","30297","1044","26672","3505","211","16.54","Grounded"
"46","Science & Technology","Science & Technology","117357060","9287880","11921","308","8558","2632","208","12.64","Science & Technology"
"47","Dark Souls III","Dark Souls III","134403480","9118800","18612","345","16455","3014","204","14.74","Dark Souls III"
"48","Black Desert","Black Desert","232290720","8714580","16699","296","7446","5210","195","26.66","Black Desert"
"49","DayZ","DayZ","247137000","8439780","106528","383","10369","5543","189","29.28","DayZ"
"50","Madden NFL 20","Madden NFL 20","40194480","8299140","28360","693","18852","901","186","4.84","Madden NFL 20"
