"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","5928845640","477731700","497250","21768","663479","132993","10716","12.41","Fortnite"
"2","Call of Duty: Warzone","Call of Duty: Warzone","5059167540","405269520","951957","31506","445223","113485","9090","12.48","Call of Duty: Warzone"
"3","League of Legends","League of Legends","8553094320","195058140","707347","7440","229635","191859","4375","43.85","League of Legends"
"4","VALORANT","VALORANT","3267731700","181019520","564404","8000","256154","73300","4060","18.05","VALORANT"
"5","Just Chatting","Just Chatting","10228712820","156467040","508828","5233","328529","229446","3509","65.37","Just Chatting"
"6","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","6776300460","135468180","713229","7272","395663","152003","3038","50.02","Fall Guys: Ultimate Knockout"
"7","Apex Legends","Apex Legends","1544903100","123088380","173116","5970","166678","34654","2761","12.55","Apex Legends"
"8","Minecraft","Minecraft","2421699600","116537880","374683","4520","244197","54322","2614","20.78","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","4999216620","90935280","374879","3525","125748","112140","2039","54.98","Grand Theft Auto V"
"10","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","749077680","74200680","114613","3038","137891","16802","1664","10.1","Tom Clancy's Rainbow Six Siege"
"11","World of Warcraft","World of Warcraft","1815080820","73678680","125034","4059","66062","40715","1652","24.64","World of Warcraft"
"12","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2894600640","64273740","313425","2526","117920","64930","1441","45.04","Counter-Strike: Global Offensive"
"13","Dead by Daylight","Dead by Daylight","1332975540","61485180","86217","2261","83980","29900","1379","21.68","Dead by Daylight"
"14","Overwatch","Overwatch","770090820","49579560","63488","2179","81557","17274","1112","15.53","Overwatch"
"15","Destiny 2","Destiny 2","453527640","45455280","26071","2480","50050","10173","1019","9.98","Destiny 2"
"16","NBA 2K20","NBA 2K20","443583540","40522380","76106","2017","62815","9950","908","10.95","NBA 2K20"
"17","Escape from Tarkov","Escape from Tarkov","949783260","39575040","50345","1431","30460","21305","887","24","Escape from Tarkov"
"18","Music","Music","1289715480","39085380","100859","1509","35380","28930","876","33","Music"
"19","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","686940240","36042780","120025","1275","39123","15409","808","19.06","PUBG: BATTLEGROUNDS"
"20","Dota 2","Dota 2","2295120300","33297360","170474","1247","26864","51483","746","68.93","Dota 2"
"21","Art","Art","466505640","29556720","33743","985","45084","10464","663","15.78","Art"
"22","Rocket League","Rocket League","586389660","29099460","182628","1134","82809","13153","652","20.15","Rocket League"
"23","Rogue Company","Rogue Company","380857440","26412300","146743","1919","55621","8543","592","14.42","Rogue Company"
"24","FIFA 20","FIFA 20","517550220","22852320","41935","1235","46172","11609","512","22.65","FIFA 20"
"25","Among Us","Among Us","1832267520","22272900","266564","3044","73330","41100","499","82.26","Among Us"
"26","Ghost of Tsushima","Ghost of Tsushima","143420820","21349500","18373","1433","27817","3217","478","6.72","Ghost of Tsushima"
