"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"23","NBA 2K21","NBA 2K21","379602960","37427220","50075","1951","61785","8799","867","10.14","NBA 2K21"
"24","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","788669820","36627000","84101","1459","39155","18281","849","21.53","PUBG: BATTLEGROUNDS"
"25","Destiny 2","Destiny 2","396946800","33079560","33860","1740","41859","9201","766","12","Destiny 2"
"26","Genshin Impact","Genshin Impact","572163660","29995920","85750","2626","53069","13262","695","19.07","Genshin Impact"
"27","Sea of Thieves","Sea of Thieves","618099060","26954520","141852","1580","45956","14327","624","22.93","Sea of Thieves"
"28","Monster Hunter Rise","Monster Hunter Rise","454058640","25821480","54202","1736","27321","10525","598","17.58","Monster Hunter Rise"
"29","Roblox","Roblox","175429380","21998760","216873","1015","61361","4066","509","7.97","Roblox"
"30","Among Us","Among Us","1166898720","20909940","375391","4332","87073","27049","484","55.81","Among Us"
"31","Phasmophobia","Phasmophobia","223363860","20904900","112857","1233","68338","5177","484","10.68","Phasmophobia"
"32","Garena Free Fire","Garena Free Fire","766819080","20503080","139453","1005","29999","17775","475","37.4","Garena Free Fire"
"33","Final Fantasy XIV Online","Final Fantasy XIV Online","182316660","20250120","31619","1742","22985","4226","469","9","Final Fantasy XIV Online"
"34","Valheim","Valheim","223543140","20208780","34871","1136","31305","5181","468","11.06","Valheim"
"35","Path of Exile","Path of Exile","1147477200","19028340","320831","4075","16702","26598","441","60.3","Path of Exile"
"36","Teamfight Tactics","Teamfight Tactics","900409500","18529140","114721","1713","36550","20871","429","48.59","Teamfight Tactics"
"37","Rust","Rust","766404480","17728860","122912","1396","23343","17765","410","43.23","Rust"
"38","It Takes Two","It Takes Two","820078200","17347080","230196","1072","41757","19009","402","47.27","It Takes Two"
"39","Ark: Survival Evolved","Ark: Survival Evolved","304094580","16718880","43145","738","23231","7049","387","18.19","Ark: Survival Evolved"
"40","Games + Demos","Games + Demos","144406500","16686840","35475","2618","46876","3347","386","8.65","Games + Demos"
"41","osu!","osu!","143893020","14467140","23672","587","41605","3335","335","9.95","osu!"
"42","SMITE","SMITE","377913420","13478040","36655","630","18181","8760","312","28.04","SMITE"
"43","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","252162360","13253700","119237","702","49275","5845","307","19.03","Fall Guys: Ultimate Knockout"
"44","Hunt: Showdown","Hunt: Showdown","247305900","13211880","44510","701","16139","5732","306","18.72","Hunt: Showdown"
"45","Subnautica","Subnautica","76227180","12779400","14081","785","28062","1766","296","5.96","Subnautica"
"46","Red Dead Redemption 2","Red Dead Redemption 2","76210740","12411240","7188","514","19964","1766","287","6.14","Red Dead Redemption 2"
"47","Hearthstone","Hearthstone","1385404560","12348780","83246","553","16526","32114","286","112.19","Hearthstone"
"48","Science & Technology","Science & Technology","216059760","12342000","145422","453","10183","5008","286","17.51","Science & Technology"
"49","The Binding of Isaac: Repentance","The Binding of Isaac: Repentance","985609500","12271980","71753","651","21305","22846","284","80.31","The Binding of Isaac: Repentance"
"50","DayZ","DayZ","275457300","12145260","47381","554","14354","6385","281","22.68","DayZ"
