"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","5646740220","348618540","498791","17877","588089","130893","8081","16.2","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","656844960","269725200","63692","35271","356138","15225","6252","2.44","Call Of Duty: Modern Warfare"
"3","Apex Legends","Apex Legends","3085503300","221320260","177682","8162","297846","71523","5130","13.94","Apex Legends"
"4","Call of Duty: Warzone","Call of Duty: Warzone","6034296420","215784660","1654695","22657","218805","139877","5001","27.96","Call of Duty: Warzone"
"5","League of Legends","League of Legends","9419650200","215563200","938847","8343","260952","218350","4996","43.7","League of Legends"
"6","Just Chatting","Just Chatting","17372874660","212676060","975333","8037","474257","402709","4929","81.69","Just Chatting"
"7","VALORANT","VALORANT","5138149800","206106540","456071","8565","306540","119104","4777","24.93","VALORANT"
"8","Minecraft","Minecraft","4783717560","186759240","763078","8914","405918","110888","4329","25.61","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","14366339040","150532560","1116923","7043","211141","333016","3489","95.44","Grand Theft Auto V"
"10","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4204369140","87895980","442510","4182","158206","97458","2037","47.83","Counter-Strike: Global Offensive"
"11","Rocket League","Rocket League","1578193680","79599840","214487","3996","241744","36583","1845","19.83","Rocket League"
"12","Dead by Daylight","Dead by Daylight","1291477800","73284900","128125","2981","99018","29936","1698","17.62","Dead by Daylight"
"13","World of Warcraft","World of Warcraft","1736147700","70475340","157874","4963","61988","40244","1633","24.63","World of Warcraft"
"14","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1449920100","65724960","138725","3326","135325","33609","1523","22.06","Tom Clancy's Rainbow Six Siege"
"15","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","417786720","62601060","66989","4071","121427","9684","1451","6.67","Call of Duty: Black Ops Cold War"
"16","Music","Music","1448364420","60526260","91294","2811","58338","33573","1403","23.93","Music"
"17","Outriders","Outriders","856169340","53577120","181538","6632","68168","19846","1241","15.98","Outriders"
"18","FIFA 21","FIFA 21","1919849280","51423480","280430","4131","99006","44502","1192","37.33","FIFA 21"
"19","Escape from Tarkov","Escape from Tarkov","1243195020","49543560","160575","1947","39253","28817","1148","25.09","Escape from Tarkov"
"20","Overwatch","Overwatch","734398680","48182820","74604","2220","84414","17023","1116","15.24","Overwatch"
"21","Dota 2","Dota 2","2987121420","39970680","379835","1668","32754","69242","926","74.73","Dota 2"
"22","Art","Art","623232900","38883300","50245","1447","63925","14446","901","16.03","Art"
