"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","6459943200","391437360","558553","18972","644071","160455","9722","16.5","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","655083900","285694920","48998","13853","363852","16271","7096","2.29","Call Of Duty: Modern Warfare"
"3","Apex Legends","Apex Legends","3105427860","243574080","211967","13228","303619","77134","6050","12.75","Apex Legends"
"4","League of Legends","League of Legends","9013264560","219945000","723964","9706","268439","223876","5463","40.98","League of Legends"
"5","Minecraft","Minecraft","4944918600","211475820","705038","9887","450593","122824","5252","23.38","Minecraft"
"6","Call of Duty: Warzone","Call of Duty: Warzone","4405184880","193726320","305835","9016","202041","109418","4811","22.74","Call of Duty: Warzone"
"7","Just Chatting","Just Chatting","14426741400","192177960","1166392","13314","444507","358339","4773","75.07","Just Chatting"
"8","VALORANT","VALORANT","4213732260","176721360","299848","7386","266828","104662","4389","23.84","VALORANT"
"9","Grand Theft Auto V","Grand Theft Auto V","8262283320","120363480","507058","6030","175699","205223","2989","68.64","Grand Theft Auto V"
"10","Valheim","Valheim","2144143920","90601260","188897","5331","118705","53257","2250","23.67","Valheim"
"11","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4054708860","90421740","622132","4462","161814","100713","2245","44.84","Counter-Strike: Global Offensive"
"12","World of Warcraft","World of Warcraft","1764207780","84442260","143476","6206","74435","43820","2097","20.89","World of Warcraft"
"13","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","679540380","75856620","140677","4849","140065","16878","1884","8.96","Call of Duty: Black Ops Cold War"
"14","Rocket League","Rocket League","1181585220","70205580","232740","3652","254500","29348","1743","16.83","Rocket League"
"15","Escape from Tarkov","Escape from Tarkov","2203541940","68221380","123010","2727","51456","54732","1694","32.3","Escape from Tarkov"
"16","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1518770220","66954540","191031","3183","135002","37724","1663","22.68","Tom Clancy's Rainbow Six Siege"
"17","Dead by Daylight","Dead by Daylight","1087743000","63659820","62584","2663","87275","27017","1581","17.09","Dead by Daylight"
"18","FIFA 21","FIFA 21","2250139200","58471440","271429","4445","115245","55890","1452","38.48","FIFA 21"
"19","Music","Music","1398270840","52764240","161030","2709","54368","34731","1310","26.5","Music"
"20","Overwatch","Overwatch","758310300","50630340","72719","2362","89223","18835","1257","14.98","Overwatch"
"21","Destiny 2","Destiny 2","472786380","40148460","49042","3560","48714","11743","997","11.78","Destiny 2"
"22","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","1202600940","37893600","175929","1538","40534","29870","941","31.74","PUBG: BATTLEGROUNDS"
"23","Dota 2","Dota 2","2334472380","36849000","223609","1725","29522","57984","915","63.35","Dota 2"
"24","Art","Art","573836340","36417780","67416","1383","60735","14253","904","15.76","Art"
"25","Genshin Impact","Genshin Impact","685430160","36347340","78710","3481","59903","17025","902","18.86","Genshin Impact"
"26","Rust","Rust","2660133780","35943600","346469","3094","47558","66073","892","74.01","Rust"
"27","NBA 2K21","NBA 2K21","301111320","34181880","55725","1880","56514","7479","849","8.81","NBA 2K21"
"28","Sea of Thieves","Sea of Thieves","382277340","26520720","62220","1515","46006","9495","658","14.41","Sea of Thieves"
"29","Phasmophobia","Phasmophobia","273094920","23358720","127078","1496","75014","6783","580","11.69","Phasmophobia"
"30","Among Us","Among Us","1172052120","23113560","329808","1884","83756","29112","574","50.71","Among Us"
"31","Ark: Survival Evolved","Ark: Survival Evolved","590846580","21199800","405649","1075","31582","14675","526","27.87","Ark: Survival Evolved"
"32","Final Fantasy XIV Online","Final Fantasy XIV Online","212551140","20462460","149288","1585","23172","5279","508","10.39","Final Fantasy XIV Online"
"33","Roblox","Roblox","142771260","19870440","175165","877","52185","3546","493","7.19","Roblox"
"34","Garena Free Fire","Garena Free Fire","633618300","17135400","518728","850","25814","15738","425","36.98","Garena Free Fire"
"35","Path of Exile","Path of Exile","799929600","17077980","57443","746","11971","19869","424","46.84","Path of Exile"
"36","Teamfight Tactics","Teamfight Tactics","844428180","16559880","79704","675","31885","20974","411","50.99","Teamfight Tactics"
"37","SMITE","SMITE","368912400","15795240","33189","817","20975","9163","392","23.36","SMITE"
"38","Madden NFL 21","Madden NFL 21","160516440","15446940","33208","1017","30181","3986","383","10.39","Madden NFL 21"
"39","Red Dead Redemption 2","Red Dead Redemption 2","83868180","15045900","13339","632","24205","2083","373","5.57","Red Dead Redemption 2"
"40","Stardew Valley","Stardew Valley","176169060","14041200","38244","643","30846","4375","348","12.55","Stardew Valley"
"41","Rogue Company","Rogue Company","75013560","13562760","21545","679","29199","1863","336","5.53","Rogue Company"
"42","DayZ","DayZ","195540000","13214640","23541","640","15926","4856","328","14.8","DayZ"
"43","osu!","osu!","108593760","12971220","16755","516","37147","2697","322","8.37","osu!"
"44","Little Nightmares II","Little Nightmares II","453457320","12102360","127073","1893","35743","11263","300","37.47","Little Nightmares II"
"45","World of Tanks","World of Tanks","327408180","10657380","32151","622","10654","8132","264","30.72","World of Tanks"
"46","Science & Technology","Science & Technology","174159540","10633560","210498","491","9711","4325","264","16.38","Science & Technology"
"47","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","192187620","10485120","90057","491","36961","4773","260","18.33","Fall Guys: Ultimate Knockout"
"48","Call of Duty: Mobile","Call of Duty: Mobile","59577840","10271460","32410","420","18328","1479","255","5.8","Call of Duty: Mobile"
"49","Hearthstone","Hearthstone","1135787880","10185540","75758","421","13555","28211","252","111.51","Hearthstone"
"50","Talk Shows & Podcasts","Talk Shows & Podcasts","415414560","9984840","125510","628","17053","10318","248","41.6","Talk Shows & Podcasts"
