"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","5511530040","299676600","480519","14457","484887","123632","6722","18.39","Fortnite"
"2","Apex Legends","Apex Legends","4083198600","273949200","373927","15613","339210","91592","6145","14.9","Apex Legends"
"3","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","565980900","241595640","43279","10966","298703","12695","5419","2.34","Call Of Duty: Modern Warfare"
"4","Just Chatting","Just Chatting","17156891760","211343220","983678","7469","462447","384856","4740","81.18","Just Chatting"
"5","League of Legends","League of Legends","10440760320","210968220","1261107","7731","251261","234202","4732","49.49","League of Legends"
"6","Call of Duty: Warzone","Call of Duty: Warzone","5764184520","208949760","408701","9178","204332","129299","4687","27.59","Call of Duty: Warzone"
"7","VALORANT","VALORANT","6014672760","198470160","1010321","8056","288329","134918","4452","30.31","VALORANT"
"8","Minecraft","Minecraft","4599692100","169747920","973241","7760","357562","103178","3807","27.1","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","15205167360","150601080","1154832","7011","197818","341075","3378","100.96","Grand Theft Auto V"
"10","Resident Evil Village","Resident Evil Village","3024961200","95136600","658445","15117","146083","67854","2134","31.8","Resident Evil Village"
"11","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4540226940","82838760","559407","3620","140856","101844","1858","54.81","Counter-Strike: Global Offensive"
"12","Dead by Daylight","Dead by Daylight","1494987960","78702120","257714","3645","100877","33534","1765","19","Dead by Daylight"
"13","Rocket League","Rocket League","1188647100","73317420","212616","3412","197580","26663","1644","16.21","Rocket League"
"14","World of Warcraft","World of Warcraft","2059176480","67446960","144989","4476","60848","46190","1512","30.53","World of Warcraft"
"15","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","338787240","63548460","50942","2875","112257","7599","1425","5.33","Call of Duty: Black Ops Cold War"
"16","Music","Music","1596057120","61755120","116916","2674","57320","35802","1385","25.84","Music"
