"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"40","Hunt: Showdown","Hunt: Showdown","268994520","13092300","37698","686","16042","6235","303","20.55","Hunt: Showdown"
"41","Pokémon Unite","Pokémon Unite","210547440","12751140","136938","1340","26328","4880","295","16.51","Pokémon Unite"
"42","LOST ARK","LOST ARK","753314580","11714640","66341","774","6601","17462","271","64.31","LOST ARK"
"43","osu!","osu!","122071860","11577660","21264","466","32066","2829","268","10.54","osu!"
"44","SMITE","SMITE","303671880","11157600","35908","556","14859","7039","258","27.22","SMITE"
"45","Madden NFL 22","Madden NFL 22","192932940","10979040","75515","681","18442","4472","254","17.57","Madden NFL 22"
"46","Ark: Survival Evolved","Ark: Survival Evolved","107898720","10956540","6528","453","14977","2501","253","9.85","Ark: Survival Evolved"
"47","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","341833440","10890720","121838","505","44356","7923","252","31.39","Fall Guys: Ultimate Knockout"
"48","DayZ","DayZ","260112960","10864980","34872","501","12745","6029","251","23.94","DayZ"
"49","Hearthstone","Hearthstone","1456081740","10806000","84477","460","13193","33752","250","134.75","Hearthstone"
"50","Vampire: The Masquerade - Bloodhunt","Vampire: The Masquerade - Bloodhunt","284574840","10547580","78484","899","33568","6596","244","26.98","Vampire: The Masquerade - Bloodhunt"
