"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","3613609860","249629700","1212148","82928","415949","83764","5786","14.48","Fortnite"
"2","Apex Legends","Apex Legends","4121497260","210678000","330106","9096","273660","95537","4883","19.56","Apex Legends"
"3","Just Chatting","Just Chatting","13355679060","178955880","785055","8506","394043","309589","4148","74.63","Just Chatting"
"4","VALORANT","VALORANT","5543618520","178349640","746991","7148","257779","128502","4134","31.08","VALORANT"
"5","League of Legends","League of Legends","6444395400","163422480","649344","5560","201351","149383","3788","39.43","League of Legends"
"6","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","353790240","151472220","46407","7051","199783","8200","3511","2.34","Call Of Duty: Modern Warfare"
"7","Call of Duty: Warzone","Call of Duty: Warzone","3235160940","139794300","354154","6183","143456","74992","3240","23.14","Call of Duty: Warzone"
"8","Minecraft","Minecraft","4590812400","127201920","803027","5700","275316","106416","2948","36.09","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","8671554000","113511180","602172","5099","139075","201009","2631","76.39","Grand Theft Auto V"
"10","Dead by Daylight","Dead by Daylight","1724279160","97023900","119110","4006","126846","39969","2249","17.77","Dead by Daylight"
"11","Genshin Impact","Genshin Impact","1186469880","73818000","137073","5455","98814","27502","1711","16.07","Genshin Impact"
"12","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3692024640","60452280","725556","2823","105073","85582","1401","61.07","Counter-Strike: Global Offensive"
"13","World of Warcraft","World of Warcraft","1023601740","54478080","97771","4539","46353","23727","1262","18.79","World of Warcraft"
"14","Music","Music","1378123560","51644580","94895","1860","47338","31945","1197","26.68","Music"
"15","Destiny 2","Destiny 2","580740960","49512300","46150","2626","59911","13461","1147","11.73","Destiny 2"
"16","New World","New World","2428330380","48014400","983406","16345","71631","56289","1112","50.58","New World"
"17","NBA 2K22","NBA 2K22","790575300","46059240","159548","7211","58275","18325","1067","17.16","NBA 2K22"
"18","Rocket League","Rocket League","581511840","45549720","111310","2231","125139","13479","1055","12.77","Rocket League"
"19","Dota 2","Dota 2","2088444720","40968660","164304","1793","33889","48410","949","50.98","Dota 2"
"20","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","850517520","39299640","68568","1775","80001","19715","910","21.64","Tom Clancy's Rainbow Six Siege"
"21","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","157321140","38352600","24574","1882","68644","3646","889","4.1","Call of Duty: Black Ops Cold War"
"22","Art","Art","576842580","34357680","30278","1207","56359","13371","796","16.79","Art"
"23","Escape from Tarkov","Escape from Tarkov","768174360","34258740","35404","1334","27708","17806","794","22.42","Escape from Tarkov"
"24","Overwatch","Overwatch","504085680","31309860","78397","1146","53834","11684","725","16.1","Overwatch"
"25","Final Fantasy XIV Online","Final Fantasy XIV Online","613256580","31086360","134136","1678","32858","14215","720","19.73","Final Fantasy XIV Online"
"26","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","578320920","29948640","66587","1093","30872","13405","694","19.31","PUBG: BATTLEGROUNDS"
"27","Phasmophobia","Phasmophobia","396539220","28378020","123680","1912","92019","9191","657","13.97","Phasmophobia"
"28","Games + Demos","Games + Demos","147102300","23987880","33270","1487","57567","3409","556","6.13","Games + Demos"
"29","Roblox","Roblox","136608540","20905740","77480","923","54889","3166","484","6.53","Roblox"
"30","FIFA 21","FIFA 21","302625840","19591320","66068","1534","43210","7014","454","15.45","FIFA 21"
"31","FIFA 22","FIFA 22","2157234420","18556020","515344","5044","46786","50005","430","116.26","FIFA 22"
"32","Diablo II: Resurrected","Diablo II: Resurrected","1145558460","18369900","414909","5938","26042","26554","425","62.36","Diablo II: Resurrected"
"33","Sea of Thieves","Sea of Thieves","259425300","17183700","37788","1040","27652","6013","398","15.1","Sea of Thieves"
"34","Tales of Arise","Tales of Arise","233256360","16566900","48344","1428","15551","5406","384","14.08","Tales of Arise"
"35","Rust","Rust","968737260","16348020","154424","1067","20625","22455","378","59.26","Rust"
"36","Red Dead Redemption 2","Red Dead Redemption 2","248728620","16255320","41480","673","23856","5765","376","15.3","Red Dead Redemption 2"
"37","Garena Free Fire","Garena Free Fire","398549100","15327720","89623","837","20881","9238","355","26","Garena Free Fire"
"38","Splitgate","Splitgate","73236360","14054580","27673","1178","50306","1697","325","5.21","Splitgate"
"39","Call of Duty: Vanguard","Call of Duty: Vanguard","346942320","13488780","222517","4038","43193","8042","312","25.72","Call of Duty: Vanguard"
