"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","6078394980","443819040","997440","19348","689937","136348","9955","13.7","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","673080540","296892000","41712","13547","362233","15098","6659","2.27","Call Of Duty: Modern Warfare"
"3","League of Legends","League of Legends","10246918500","261264000","689503","11606","294795","229854","5860","39.22","League of Legends"
"4","Minecraft","Minecraft","4804565400","215511780","931417","9892","443494","107774","4834","22.29","Minecraft"
"5","Just Chatting","Just Chatting","14888679180","205240200","2787896","8240","464702","333976","4603","72.54","Just Chatting"
"6","Call of Duty: Warzone","Call of Duty: Warzone","4803444480","198242700","424575","9097","225044","107748","4446","24.23","Call of Duty: Warzone"
"7","VALORANT","VALORANT","3271781700","180077700","227959","7100","258468","73391","4039","18.17","VALORANT"
"8","Apex Legends","Apex Legends","2194771800","170197260","154317","7377","232847","49232","3817","12.9","Apex Legends"
"9","Grand Theft Auto V","Grand Theft Auto V","4443641880","121966680","327587","5660","185072","99677","2735","36.43","Grand Theft Auto V"
"10","World of Warcraft","World of Warcraft","2683085520","114411360","146763","6800","91451","60185","2566","23.45","World of Warcraft"
"11","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3653982300","100172280","592921","4598","178120","81964","2247","36.48","Counter-Strike: Global Offensive"
"12","Escape from Tarkov","Escape from Tarkov","6650855460","95691360","441410","4268","67458","149189","2146","69.5","Escape from Tarkov"
"13","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","700805940","85231260","83962","4166","153514","15720","1911","8.22","Call of Duty: Black Ops Cold War"
"14","Rocket League","Rocket League","1389155220","83745120","152575","3824","293877","31160","1878","16.59","Rocket League"
"15","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1049666520","76254180","106881","3415","148541","23545","1710","13.77","Tom Clancy's Rainbow Six Siege"
"16","FIFA 21","FIFA 21","3323107320","70824900","837094","7733","137198","74542","1588","46.92","FIFA 21"
"17","Dead by Daylight","Dead by Daylight","1222112820","69882720","73905","2752","94512","27413","1567","17.49","Dead by Daylight"
"18","Rust","Rust","11428109280","68825340","1373791","3249","91592","256350","1543","166.05","Rust"
"19","Overwatch","Overwatch","925819680","56720100","61609","2069","94343","20767","1272","16.32","Overwatch"
"20","Music","Music","1563553380","52479960","139051","2873","53538","35072","1177","29.79","Music"
"21","Dota 2","Dota 2","2372756040","43292580","153186","1810","33400","53224","971","54.81","Dota 2"
"22","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","717188520","43126680","157160","1521","46576","16087","967","16.63","PUBG: BATTLEGROUNDS"
"23","Among Us","Among Us","1874648280","39662580","269117","2436","139022","42051","889","47.26","Among Us"
"24","Art","Art","620924280","38455620","38255","1381","62346","13928","862","16.15","Art"
"25","NBA 2K21","NBA 2K21","357078360","37244640","38259","1840","55995","8009","835","9.59","NBA 2K21"
"26","Destiny 2","Destiny 2","382164240","36846360","22283","1826","46462","8572","826","10.37","Destiny 2"
"27","Genshin Impact","Genshin Impact","768824700","36664140","108838","2100","59438","17245","822","20.97","Genshin Impact"
"28","Phasmophobia","Phasmophobia","331422120","35324100","66601","1901","103416","7434","792","9.38","Phasmophobia"
"29","Sea of Thieves","Sea of Thieves","315957960","28528800","62563","1582","49740","7087","639","11.08","Sea of Thieves"
"30","Cyberpunk 2077","Cyberpunk 2077","211500060","26715060","32236","1632","43231","4744","599","7.92","Cyberpunk 2077"
"31","Final Fantasy XIV Online","Final Fantasy XIV Online","172249020","22121820","16337","1711","21760","3863","496","7.79","Final Fantasy XIV Online"
"32","Ark: Survival Evolved","Ark: Survival Evolved","146100180","21738660","12065","948","31588","3277","487","6.72","Ark: Survival Evolved"
"33","Path of Exile","Path of Exile","1275550860","21616620","295628","4123","16957","28612","484","59.01","Path of Exile"
"34","Roblox","Roblox","142931640","20330940","205850","872","52064","3206","456","7.03","Roblox"
"35","Stardew Valley","Stardew Valley","452937120","19004040","42766","767","37286","10160","426","23.83","Stardew Valley"
"36","Teamfight Tactics","Teamfight Tactics","746130420","18351240","68462","1300","36735","16736","411","40.66","Teamfight Tactics"
"37","Red Dead Redemption 2","Red Dead Redemption 2","107902260","17776980","33914","699","27793","2420","398","6.07","Red Dead Redemption 2"
"38","Garena Free Fire","Garena Free Fire","594977100","17482200","73508","771","26400","13346","392","34.03","Garena Free Fire"
"39","DayZ","DayZ","288309840","16974480","65761","682","20551","6467","380","16.98","DayZ"
"40","Madden NFL 21","Madden NFL 21","185083440","16856580","39219","985","31621","4151","378","10.98","Madden NFL 21"
"41","SMITE","SMITE","466071000","15546900","97040","873","20972","10454","348","29.98","SMITE"
"42","Star Wars Battlefront II","Star Wars Battlefront II","147418500","15384480","73018","1537","61994","3306","345","9.58","Star Wars Battlefront II"
"43","The Forest","The Forest","100086900","13795800","32135","682","32810","2245","309","7.25","The Forest"
"44","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","232853820","13543500","58220","574","49867","5223","303","17.19","Fall Guys: Ultimate Knockout"
"45","osu!","osu!","110466960","13373940","16913","529","36322","2477","299","8.26","osu!"
"46","Rogue Company","Rogue Company","66079860","12891060","3748","604","27647","1482","289","5.13","Rogue Company"
"47","World of Tanks","World of Tanks","374086380","12656460","36501","672","12220","8391","283","29.56","World of Tanks"
"48","Hearthstone","Hearthstone","1452496980","12230880","71807","502","15518","32581","274","118.76","Hearthstone"
"49","Science & Technology","Science & Technology","144648420","11608260","28167","392","9749","3244","260","12.46","Science & Technology"
"50","Dark Souls III","Dark Souls III","159318600","11398500","26659","430","20894","3573","255","13.98","Dark Souls III"
