"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","4022385780","290002560","1270408","88824","499414","90228","6505","13.87","Fortnite"
"2","Just Chatting","Just Chatting","16292337060","186984420","1006556","8092","396024","365462","4194","87.13","Just Chatting"
"3","Apex Legends","Apex Legends","2789036160","186045720","238755","7141","218911","62562","4173","14.99","Apex Legends"
"4","VALORANT","VALORANT","5898388680","168747660","1047665","6019","249067","132310","3785","34.95","VALORANT"
"5","League of Legends","League of Legends","5710833120","147959280","591381","5291","194521","128103","3318","38.6","League of Legends"
"6","Call of Duty: Warzone","Call of Duty: Warzone","3153724560","134068620","456502","9068","133039","70743","3007","23.52","Call of Duty: Warzone"
"7","Minecraft","Minecraft","3279909420","129595500","649098","6059","273288","73573","2907","25.31","Minecraft"
"8","Grand Theft Auto V","Grand Theft Auto V","7021065300","116664000","415255","5737","148924","157493","2616","60.18","Grand Theft Auto V"
"9","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","188355540","96742980","33616","5541","138571","4225","2170","1.95","Call Of Duty: Modern Warfare"
"10","Dead by Daylight","Dead by Daylight","1323261120","87609840","110737","3607","120934","29682","1965","15.1","Dead by Daylight"
"11","Escape from Tarkov","Escape from Tarkov","4623634440","67088280","475913","5568","48796","103715","1504","68.92","Escape from Tarkov"
"12","Halo Infinite","Halo Infinite","1169056800","63026880","265291","7962","115398","26223","1413","18.55","Halo Infinite"
"13","Call of Duty: Vanguard","Call of Duty: Vanguard","414614700","58158840","81073","2851","89714","9300","1304","7.13","Call of Duty: Vanguard"
"14","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2724069300","54885960","524450","2485","94162","61105","1231","49.63","Counter-Strike: Global Offensive"
"15","Music","Music","1384348080","54369780","263843","2706","48464","31053","1219","25.46","Music"
"16","World of Warcraft","World of Warcraft","1342394820","46664700","76285","3177","38289","30112","1046","28.77","World of Warcraft"
"17","FIFA 22","FIFA 22","1927995480","44803800","239066","2609","82876","43247","1005","43.03","FIFA 22"
"18","Final Fantasy XIV Online","Final Fantasy XIV Online","745409580","44728680","81651","5406","32353","16720","1003","16.67","Final Fantasy XIV Online"
"19","Dota 2","Dota 2","2594134800","42883440","210062","1759","35356","58190","961","60.49","Dota 2"
"20","Rocket League","Rocket League","705727320","41616600","262428","2215","114708","15830","933","16.96","Rocket League"
"21","Genshin Impact","Genshin Impact","830275800","39104100","537431","2179","62344","18624","877","21.23","Genshin Impact"
"22","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","461291220","34069020","54163","1586","69242","10347","764","13.54","Tom Clancy's Rainbow Six Siege"
"23","Destiny 2","Destiny 2","455988600","33883140","70948","4175","41106","10228","760","13.46","Destiny 2"
"24","Art","Art","521085660","31160160","36935","1065","51234","11688","698","16.72","Art"
"25","Overwatch","Overwatch","480210000","28663740","55187","1087","50636","10771","642","16.75","Overwatch"
"26","Teamfight Tactics","Teamfight Tactics","2170684560","26520480","139836","891","46618","48691","594","81.85","Teamfight Tactics"
"27","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","599563260","25230420","112552","901","25772","13449","565","23.76","PUBG: BATTLEGROUNDS"
"28","Pokémon Brilliant Diamond/Shining Pearl","Pokémon Brilliant Diamond/Shining Pearl","767328480","23954580","77502","1637","35098","17212","537","32.03","Pokémon Brilliant Diamond/Shining Pearl"
"29","Games + Demos","Games + Demos","175604820","22507560","78624","923","50166","3939","504","7.8","Games + Demos"
"30","NBA 2K22","NBA 2K22","239737980","22188780","40015","1247","29005","5377","497","10.8","NBA 2K22"
"31","Roblox","Roblox","140929020","22114560","70399","1042","54223","3161","496","6.37","Roblox"
"32","Phasmophobia","Phasmophobia","300600660","21304740","77456","1900","64256","6742","477","14.11","Phasmophobia"
"33","Super People","Super People","550416000","18936600","98888","981","35864","12346","424","29.07","Super People"
"34","Battlefield 2042","Battlefield 2042","200444460","17884620","35544","1094","30733","4496","401","11.21","Battlefield 2042"
"35","New World","New World","565559520","17532960","75379","765","16563","12686","393","32.26","New World"
"36","Sea of Thieves","Sea of Thieves","272548500","15703740","47241","855","26356","6113","352","17.36","Sea of Thieves"
"37","Rust","Rust","421186980","15318780","41718","927","20424","9447","343","27.49","Rust"
"38","Ark: Survival Evolved","Ark: Survival Evolved","132877860","15018300","12826","734","20401","2980","336","8.85","Ark: Survival Evolved"
"39","Madden NFL 22","Madden NFL 22","125687640","14402820","26329","907","23726","2819","323","8.73","Madden NFL 22"
"40","Red Dead Redemption 2","Red Dead Redemption 2","126109980","13579320","21245","585","20266","2828","304","9.29","Red Dead Redemption 2"
"41","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","37349820","13418460","26559","654","25366","837","300","2.78","Call of Duty: Black Ops Cold War"
"42","Hunt: Showdown","Hunt: Showdown","172198440","12770340","32052","648","13283","3862","286","13.48","Hunt: Showdown"
"43","7 Days to Die","7 Days to Die","160783800","11986560","16537","683","14732","3606","268","13.41","7 Days to Die"
"44","Farming Simulator 22","Farming Simulator 22","211311420","11951520","52545","791","13319","4740","268","17.68","Farming Simulator 22"
"45","DayZ","DayZ","245486400","11660460","32021","527","13419","5506","261","21.05","DayZ"
"46","Garena Free Fire","Garena Free Fire","224942280","10897320","41033","475","13665","5045","244","20.64","Garena Free Fire"
"47","Dark Souls III","Dark Souls III","192999780","10841100","56764","479","18598","4329","243","17.8","Dark Souls III"
"48","osu!","osu!","95647560","10838520","137602","397","28625","2145","243","8.82","osu!"
"49","World of Tanks","World of Tanks","448597920","10621740","48576","605","10153","10062","238","42.23","World of Tanks"
"50","Warframe","Warframe","122116320","10519200","34248","1605","13809","2739","235","11.61","Warframe"
