"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"27","Destiny 2","Destiny 2","395632380","31869300","93945","2180","40601","8874","714","12.41","Destiny 2"
"28","Sea of Thieves","Sea of Thieves","427271700","30158220","48912","1657","54840","9584","676","14.17","Sea of Thieves"
"29","Roblox","Roblox","139291620","25788060","76087","884","67091","3124","578","5.4","Roblox"
"30","Rust","Rust","1777426680","22502760","406902","1110","31052","39870","504","78.99","Rust"
"31","Games + Demos","Games + Demos","147561660","21793140","42362","789","51876","3310","488","6.77","Games + Demos"
"32","Garena Free Fire","Garena Free Fire","472721580","18311880","83533","844","25717","10603","410","25.82","Garena Free Fire"
"33","Pokémon Unite","Pokémon Unite","985686600","17269500","227954","2607","36529","22110","387","57.08","Pokémon Unite"
"34","Red Dead Redemption 2","Red Dead Redemption 2","118097940","17130420","22749","1029","28440","2649","384","6.89","Red Dead Redemption 2"
"35","Phasmophobia","Phasmophobia","177290580","16729080","151494","940","59659","3976","375","10.6","Phasmophobia"
"36","Ark: Survival Evolved","Ark: Survival Evolved","152077140","14774940","13134","576","20170","3411","331","10.29","Ark: Survival Evolved"
"37","osu!","osu!","108377040","12758820","16033","444","36478","2431","286","8.49","osu!"
"38","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","89119020","12630420","53879","651","25795","1999","283","7.06","Call of Duty: Black Ops 4"
"39","SMITE","SMITE","307866180","11884500","41610","623","16122","6905","266","25.9","SMITE"
"40","Call of Duty: Mobile","Call of Duty: Mobile","77280420","11775000","16458","475","18615","1733","264","6.56","Call of Duty: Mobile"
"41","Teamfight Tactics","Teamfight Tactics","527863500","11135760","61063","540","22340","11840","249","47.4","Teamfight Tactics"
"42","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","291254400","11122980","118760","750","42332","6533","249","26.18","Fall Guys: Ultimate Knockout"
"43","Dark Souls III","Dark Souls III","194913780","11032560","124687","419","20216","4372","247","17.67","Dark Souls III"
"44","Retro","Retro","259787580","10905180","26358","416","11025","5827","244","23.82","Retro"
"45","Warframe","Warframe","295466040","10899660","560295","830","13645","6627","244","27.11","Warframe"
"46","DayZ","DayZ","671143860","10783560","297130","484","13496","15054","241","62.24","DayZ"
"47","LOST ARK","LOST ARK","587029080","10581720","84246","731","6317","13167","237","55.48","LOST ARK"
"48","Science & Technology","Science & Technology","143788860","10466340","14352","347","7923","3225","234","13.74","Science & Technology"
"49","Black Desert","Black Desert","318969960","10421580","22203","358","8920","7155","233","30.61","Black Desert"
"50","Talk Shows & Podcasts","Talk Shows & Podcasts","350918940","10087380","145186","551","14103","7871","226","34.79","Talk Shows & Podcasts"
