"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","4159684980","300136860","341415","11371","488332","93308","6732","13.86","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","478515120","205065180","29585","8937","275172","10733","4599","2.33","Call Of Duty: Modern Warfare"
"3","Apex Legends","Apex Legends","2839129380","202251300","216652","7107","263707","63686","4536","14.04","Apex Legends"
"4","VALORANT","VALORANT","4852811340","197345340","305034","6850","287260","108856","4426","24.59","VALORANT"
"5","Just Chatting","Just Chatting","14403064800","192298800","783604","6318","425721","323083","4313","74.9","Just Chatting"
"6","Call of Duty: Warzone","Call of Duty: Warzone","4307504520","179194740","348510","7945","180991","96624","4019","24.04","Call of Duty: Warzone"
"7","League of Legends","League of Legends","8061810840","177665640","534048","6029","215610","180839","3985","45.38","League of Legends"
"8","Minecraft","Minecraft","3217461180","169142940","903936","6323","353450","72172","3794","19.02","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","8552358000","140647620","477197","6237","196492","191842","3154","60.81","Grand Theft Auto V"
"10","Dead by Daylight","Dead by Daylight","1807733520","103263720","83893","4309","137795","40550","2316","17.51","Dead by Daylight"
"11","Escape from Tarkov","Escape from Tarkov","2539333560","75110700","200429","4929","51881","56961","1684","33.81","Escape from Tarkov"
"12","World of Warcraft","World of Warcraft","2850679380","73340340","315079","5801","60203","63945","1645","38.87","World of Warcraft"
"13","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3519531600","66447180","742076","2513","112617","78948","1490","52.97","Counter-Strike: Global Offensive"
"14","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","433744260","60635880","107726","3791","110101","9729","1360","7.15","Call of Duty: Black Ops Cold War"
"15","Rocket League","Rocket League","568888020","55404300","57235","2173","155609","12761","1242","10.27","Rocket League"
"16","Music","Music","1272314280","53459340","164271","1871","49773","28540","1199","23.8","Music"
"17","Genshin Impact","Genshin Impact","1007057940","50759460","505546","5476","76132","22589","1138","19.84","Genshin Impact"
"18","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","904015980","43608060","76075","1564","91421","20278","978","20.73","Tom Clancy's Rainbow Six Siege"
"19","Overwatch","Overwatch","657144180","42195360","50977","1776","73442","14740","946","15.57","Overwatch"
"20","New World","New World","2113798200","41706960","739702","9636","54125","47415","935","50.68","New World"
"21","Dota 2","Dota 2","2552374680","40622700","403938","1515","33330","57253","911","62.83","Dota 2"
"22","Art","Art","620535240","36102060","34929","1249","61280","13919","809","17.19","Art"
"23","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","877060320","34352940","194238","1126","36808","19673","770","25.53","PUBG: BATTLEGROUNDS"
"24","NBA 2K21","NBA 2K21","279415920","33614040","53935","1525","57255","6267","754","8.31","NBA 2K21"
"25","Final Fantasy XIV Online","Final Fantasy XIV Online","1557849300","33566940","222086","1872","38306","34945","752","46.41","Final Fantasy XIV Online"
"26","FIFA 21","FIFA 21","871471320","32751300","97414","1782","64768","19548","734","26.61","FIFA 21"
