"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Apex Legends","Apex Legends","3521880780","209180160","284849","11947","247467","81638","4848","16.84","Apex Legends"
"2","Fortnite","Fortnite","3010684920","194156220","371676","7997","329946","69788","4500","15.51","Fortnite"
"3","Just Chatting","Just Chatting","13890898860","169712820","890132","6761","368108","321995","3934","81.85","Just Chatting"
"4","VALORANT","VALORANT","3521156520","158727780","201652","5767","226858","81621","3679","22.18","VALORANT"
"5","League of Legends","League of Legends","6156731280","145216980","3087270","5296","192692","142715","3366","42.4","League of Legends"
"6","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","248446920","125387340","30053","6239","164882","5759","2906","1.98","Call Of Duty: Modern Warfare"
"7","Call of Duty: Vanguard","Call of Duty: Vanguard","2006261100","122031420","329920","15131","152204","46505","2828","16.44","Call of Duty: Vanguard"
"8","Call of Duty: Warzone","Call of Duty: Warzone","2153734680","111283980","264556","6016","121583","49924","2579","19.35","Call of Duty: Warzone"
"9","Minecraft","Minecraft","3356959740","106093980","604094","4923","227396","77815","2459","31.64","Minecraft"
"10","Grand Theft Auto V","Grand Theft Auto V","7776520800","105178620","462977","5026","123262","180262","2438","73.94","Grand Theft Auto V"
"11","Dead by Daylight","Dead by Daylight","1374450360","86348820","116915","3978","106571","31860","2001","15.92","Dead by Daylight"
"12","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4798883580","57095880","1933313","2603","97574","111239","1323","84.05","Counter-Strike: Global Offensive"
"13","Halo Infinite","Halo Infinite","1041669840","53151480","251579","9971","124265","24146","1232","19.6","Halo Infinite"
"14","Music","Music","1131471360","49648080","89272","1869","44507","26227","1150","22.79","Music"
"15","World of Warcraft","World of Warcraft","1242851700","47502420","122036","3555","38257","28809","1101","26.16","World of Warcraft"
"16","FIFA 22","FIFA 22","2133769680","46064220","243893","2800","80957","49461","1067","46.32","FIFA 22"
"17","Dota 2","Dota 2","2224391580","44871060","223679","1949","36951","51562","1040","49.57","Dota 2"
"18","Rocket League","Rocket League","864256680","42477840","140185","1922","111657","20033","984","20.35","Rocket League"
"19","Battlefield 2042","Battlefield 2042","1160391600","39656640","346829","4579","66621","26898","919","29.26","Battlefield 2042"
"20","Genshin Impact","Genshin Impact","711448380","39227580","412487","3456","64965","16491","909","18.14","Genshin Impact"
"21","New World","New World","819567300","34665540","70068","2016","35996","18997","803","23.64","New World"
"22","Forza Horizon 5","Forza Horizon 5","651766140","33489180","103730","3851","78257","15108","776","19.46","Forza Horizon 5"
"23","Pokémon Brilliant Diamond/Shining Pearl","Pokémon Brilliant Diamond/Shining Pearl","1510877640","32376900","247407","6002","45976","35022","750","46.67","Pokémon Brilliant Diamond/Shining Pearl"
"24","Art","Art","535094160","30997920","42462","1083","50321","12403","718","17.26","Art"
"25","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","533611680","29235540","102732","1539","59928","12369","677","18.25","Tom Clancy's Rainbow Six Siege"
"26","Escape from Tarkov","Escape from Tarkov","633554460","28412220","72074","1053","22008","14686","658","22.3","Escape from Tarkov"
"27","Overwatch","Overwatch","494324520","27786600","40771","1078","47800","11458","644","17.79","Overwatch"
"28","Destiny 2","Destiny 2","327403140","26328300","37928","1360","34533","7589","610","12.44","Destiny 2"
