"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"29","Teamfight Tactics","Teamfight Tactics","2239203780","26267280","112329","1108","44746","51905","608","85.25","Teamfight Tactics"
"30","Final Fantasy XIV Online","Final Fantasy XIV Online","521026800","25559640","87538","1389","26773","12077","592","20.38","Final Fantasy XIV Online"
"31","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","672395340","25442640","126328","920","25888","15586","589","26.43","PUBG: BATTLEGROUNDS"
"32","NBA 2K22","NBA 2K22","243511080","22085700","30019","1163","29197","5644","511","11.03","NBA 2K22"
"33","Roblox","Roblox","120055320","22002000","41585","1004","55517","2782","510","5.46","Roblox"
"34","Phasmophobia","Phasmophobia","289570980","20572980","97372","3728","68071","6712","476","14.08","Phasmophobia"
"35","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","95938260","20425380","52862","1357","40852","2223","473","4.7","Call of Duty: Black Ops Cold War"
"36","Games + Demos","Games + Demos","162901260","20040420","38590","770","43420","3776","464","8.13","Games + Demos"
"37","Animal Crossing: New Horizons","Animal Crossing: New Horizons","635772360","17182980","74837","1609","28338","14737","398","37","Animal Crossing: New Horizons"
"38","LOST ARK","LOST ARK","864207300","16167660","271304","3164","20345","20032","374","53.45","LOST ARK"
"39","Rust","Rust","562612800","14105640","97090","831","17565","13041","326","39.89","Rust"
"40","Red Dead Redemption 2","Red Dead Redemption 2","129340080","12947580","28601","555","19226","2998","300","9.99","Red Dead Redemption 2"
"41","Path of Exile","Path of Exile","619328220","12785040","38080","600","7940","14356","296","48.44","Path of Exile"
"42","Crab Game","Crab Game","842424960","12623160","286942","1006","71834","19527","292","66.74","Crab Game"
"43","Madden NFL 22","Madden NFL 22","116451060","12190140","41864","782","20198","2699","282","9.55","Madden NFL 22"
"44","Sea of Thieves","Sea of Thieves","181743900","12115080","23962","680","20613","4212","280","15","Sea of Thieves"
"45","Back 4 Blood","Back 4 Blood","146766600","12013620","27004","927","30880","3402","278","12.22","Back 4 Blood"
"46","Hunt: Showdown","Hunt: Showdown","363072480","11868900","86051","712","12747","8416","275","30.59","Hunt: Showdown"
"47","Diablo II: Resurrected","Diablo II: Resurrected","278262240","11830380","34589","490","8952","6450","274","23.52","Diablo II: Resurrected"
"48","Garena Free Fire","Garena Free Fire","259441380","11742480","27256","569","14933","6013","272","22.09","Garena Free Fire"
"49","DayZ","DayZ","261038220","10929960","27004","508","11879","6050","253","23.88","DayZ"
"50","Ark: Survival Evolved","Ark: Survival Evolved","90171300","10809060","16070","544","14539","2090","250","8.34","Ark: Survival Evolved"
