"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","7040576820","430878060","800137","20333","703686","157931","9665","16.34","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","717927960","295495260","38007","12671","377183","16104","6628","2.43","Call Of Duty: Modern Warfare"
"3","Apex Legends","Apex Legends","3662608380","246493620","210153","9189","317439","82158","5529","14.86","Apex Legends"
"4","League of Legends","League of Legends","8987191080","226019820","857475","9258","268051","201596","5069","39.76","League of Legends"
"5","Call of Duty: Warzone","Call of Duty: Warzone","5456146920","216987960","417014","9378","220122","122390","4867","25.14","Call of Duty: Warzone"
"6","VALORANT","VALORANT","5258729580","211862460","422893","8065","309748","117961","4752","24.82","VALORANT"
"7","Just Chatting","Just Chatting","16223722140","209104980","1098553","8309","469545","363923","4690","77.59","Just Chatting"
"8","Minecraft","Minecraft","5267066700","205141260","710031","9524","441025","118148","4601","25.68","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","11074670280","135325980","600590","6393","186339","248422","3035","81.84","Grand Theft Auto V"
"10","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4342502160","97578000","480401","4413","170319","97409","2188","44.5","Counter-Strike: Global Offensive"
"11","World of Warcraft","World of Warcraft","2051899140","84394620","200606","5486","71429","46027","1893","24.31","World of Warcraft"
"12","Dead by Daylight","Dead by Daylight","1373820420","73332840","115771","3487","93299","30816","1644","18.73","Dead by Daylight"
"13","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1172574360","72760020","150241","3639","147485","26302","1632","16.12","Tom Clancy's Rainbow Six Siege"
"14","Rocket League","Rocket League","1526663040","71530740","212909","3332","247798","34245","1604","21.34","Rocket League"
"15","Valheim","Valheim","869677860","66657540","83665","3748","91766","19508","1495","13.05","Valheim"
"16","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","526624800","63987540","64918","4039","119084","11813","1435","8.23","Call of Duty: Black Ops Cold War"
"17","Escape from Tarkov","Escape from Tarkov","1617800640","62682360","99563","2298","46062","36289","1406","25.81","Escape from Tarkov"
"18","Music","Music","1489800780","60494700","193672","2908","57902","33418","1356","24.63","Music"
"19","FIFA 21","FIFA 21","2211717480","56583420","328568","5109","109564","49612","1269","39.09","FIFA 21"
"20","Overwatch","Overwatch","829504380","51767340","44628","2067","88225","18607","1161","16.02","Overwatch"
"21","Art","Art","637778820","40559640","54437","1503","65007","14306","909","15.72","Art"
"22","NBA 2K21","NBA 2K21","405054960","39725040","62625","1986","65326","9086","891","10.2","NBA 2K21"
"23","Dota 2","Dota 2","2398713720","39577740","230592","1604","31292","53806","887","60.61","Dota 2"
"24","Destiny 2","Destiny 2","450933480","39221700","37292","1927","47769","10115","879","11.5","Destiny 2"
"25","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","1029466500","38950620","155330","1424","40976","23092","873","26.43","PUBG: BATTLEGROUNDS"
"26","Genshin Impact","Genshin Impact","685742820","34954260","109844","2402","60523","15382","784","19.62","Genshin Impact"
"27","Sea of Thieves","Sea of Thieves","318705600","23904720","49076","1308","39818","7149","536","13.33","Sea of Thieves"
"28","Phasmophobia","Phasmophobia","252444780","23695620","173802","1423","76392","5662","531","10.65","Phasmophobia"
"29","Rust","Rust","1208283300","22519860","278066","1814","29571","27103","505","53.65","Rust"
"30","Roblox","Roblox","157635660","21633360","215333","1407","59445","3536","485","7.29","Roblox"
"31","Garena Free Fire","Garena Free Fire","614640000","20442120","71192","926","30520","13787","458","30.07","Garena Free Fire"
"32","Final Fantasy XIV Online","Final Fantasy XIV Online","183204960","20233800","32584","1361","22233","4109","453","9.05","Final Fantasy XIV Online"
"33","Ark: Survival Evolved","Ark: Survival Evolved","455663280","18517560","101646","885","26067","10221","415","24.61","Ark: Survival Evolved"
"34","Among Us","Among Us","1035261240","18268980","697975","3031","70224","23222","409","56.67","Among Us"
"35","Teamfight Tactics","Teamfight Tactics","1010374560","17115960","103154","655","32112","22664","383","59.03","Teamfight Tactics"
"36","Monster Hunter Rise","Monster Hunter Rise","523876680","16366380","129540","3445","22503","11751","367","32.01","Monster Hunter Rise"
"37","SMITE","SMITE","401355900","15380640","30494","684","20396","9003","345","26.09","SMITE"
"38","Stardew Valley","Stardew Valley","172619100","14412120","92994","633","31660","3872","323","11.98","Stardew Valley"
"39","osu!","osu!","122291340","14400660","18541","579","40771","2743","323","8.49","osu!"
"40","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","318388020","14385540","137700","1356","51277","7141","322","22.13","Fall Guys: Ultimate Knockout"
"41","Red Dead Redemption 2","Red Dead Redemption 2","87808680","13977060","9773","540","22133","1969","313","6.28","Red Dead Redemption 2"
"42","Madden NFL 21","Madden NFL 21","116123460","13938900","30021","862","26547","2604","312","8.33","Madden NFL 21"
"43","Black Desert","Black Desert","344365680","12922800","52701","466","12043","7724","289","26.65","Black Desert"
"44","DayZ","DayZ","299172000","12592620","48052","530","14625","6710","282","23.76","DayZ"
"45","Rogue Company","Rogue Company","67066320","12098160","14137","522","25207","1504","271","5.54","Rogue Company"
"46","Call of Duty: Mobile","Call of Duty: Mobile","64067940","11815560","18891","446","20168","1437","265","5.42","Call of Duty: Mobile"
"47","Hearthstone","Hearthstone","1340459640","11803260","99762","1009","15772","30068","264","113.57","Hearthstone"
"48","Science & Technology","Science & Technology","191219400","11781540","39757","400","10212","4289","264","16.23","Science & Technology"
"49","Talk Shows & Podcasts","Talk Shows & Podcasts","484294620","11714640","102662","572","18796","10863","262","41.34","Talk Shows & Podcasts"
"50","Tibia","Tibia","260092860","11392200","19936","532","6930","5834","255","22.83","Tibia"
