"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","4248155940","304193760","348817","15915","492980","98473","7051","13.97","Fortnite"
"2","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","477798720","206250960","63985","9059","260049","11075","4780","2.32","Call Of Duty: Modern Warfare"
"3","Apex Legends","Apex Legends","2864094480","204705420","242410","8477","257377","66390","4745","13.99","Apex Legends"
"4","VALORANT","VALORANT","4834886400","193050180","254947","7695","277299","112074","4474","25.04","VALORANT"
"5","Just Chatting","Just Chatting","15179119020","191317620","1049241","8716","429682","351857","4434","79.34","Just Chatting"
"6","Call of Duty: Warzone","Call of Duty: Warzone","5073768960","183673140","494393","8269","179068","117611","4257","27.62","Call of Duty: Warzone"
"7","League of Legends","League of Legends","8855658900","183225780","710542","6455","220621","205277","4247","48.33","League of Legends"
"8","Minecraft","Minecraft","4341941760","170506920","514710","7623","362028","100647","3952","25.46","Minecraft"
"9","Grand Theft Auto V","Grand Theft Auto V","10236138720","128043240","611384","5957","165667","237277","2968","79.94","Grand Theft Auto V"
"10","Dead by Daylight","Dead by Daylight","1623763680","89488800","146188","5154","118689","37639","2074","18.14","Dead by Daylight"
"11","World of Warcraft","World of Warcraft","3168988560","79432800","434559","8423","64312","73458","1841","39.9","World of Warcraft"
"12","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","3319974240","69725760","370513","3012","116511","76958","1616","47.61","Counter-Strike: Global Offensive"
"13","Rocket League","Rocket League","943975320","57417120","187400","2651","159895","21881","1330","16.44","Rocket League"
"14","Music","Music","1358666280","54735360","157424","2307","50826","31494","1268","24.82","Music"
"15","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","277925040","53227440","40167","2538","91712","6442","1233","5.22","Call of Duty: Black Ops Cold War"
"16","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","815075520","47186400","76794","2305","94803","18893","1093","17.27","Tom Clancy's Rainbow Six Siege"
"17","Overwatch","Overwatch","739856040","41311020","74431","1672","71864","17150","957","17.91","Overwatch"
"18","Dota 2","Dota 2","3738975600","39187980","377500","1544","31893","86670","908","95.41","Dota 2"
"19","Escape from Tarkov","Escape from Tarkov","1066017660","38025900","292604","6148","34369","24710","881","28.03","Escape from Tarkov"
"20","Art","Art","638019660","36207780","50812","1317","60678","14789","839","17.62","Art"
"21","Sea of Thieves","Sea of Thieves","563106120","36189540","204698","5144","64653","13052","838","15.56","Sea of Thieves"
"22","Genshin Impact","Genshin Impact","641334720","34827360","53994","2468","58266","14866","807","18.41","Genshin Impact"
"23","Destiny 2","Destiny 2","410056500","34566720","36790","1971","43132","9505","801","11.86","Destiny 2"
"24","NBA 2K21","NBA 2K21","450069180","33844620","81377","1594","56371","10432","784","13.3","NBA 2K21"
"25","FIFA 21","FIFA 21","1139138460","32828580","155627","2243","65953","26405","760","34.7","FIFA 21"
"26","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","847599660","31549500","114182","1173","31325","19647","731","26.87","PUBG: BATTLEGROUNDS"
"27","Final Fantasy XIV Online","Final Fantasy XIV Online","310751100","23191440","42377","1269","26658","7203","537","13.4","Final Fantasy XIV Online"
"28","Games + Demos","Games + Demos","196189260","22677720","104096","870","53557","4547","525","8.65","Games + Demos"
"29","Roblox","Roblox","126220920","22331760","20358","905","58979","2925","517","5.65","Roblox"
"30","Ark: Survival Evolved","Ark: Survival Evolved","361964460","21556860","56164","1446","28553","8390","499","16.79","Ark: Survival Evolved"
"31","Rust","Rust","453471540","19027620","73289","1233","26294","10511","441","23.83","Rust"
"32","Garena Free Fire","Garena Free Fire","500889960","17548500","99424","872","24741","11610","406","28.54","Garena Free Fire"
"33","Phasmophobia","Phasmophobia","202112100","17349060","54086","1631","60703","4685","402","11.65","Phasmophobia"
"34","Resident Evil Village","Resident Evil Village","281679780","14068380","51264","1078","32479","6529","326","20.02","Resident Evil Village"
"35","Teamfight Tactics","Teamfight Tactics","722388960","12717960","78001","530","24550","16745","294","56.8","Teamfight Tactics"
"36","osu!","osu!","117010380","12618420","28394","522","35943","2712","292","9.27","osu!"
"37","Red Dead Redemption 2","Red Dead Redemption 2","152300400","12452220","41489","528","20446","3530","288","12.23","Red Dead Redemption 2"
"38","Mass Effect Legendary Edition","Mass Effect Legendary Edition","114808380","12083880","11573","732","12550","2661","280","9.5","Mass Effect Legendary Edition"
"39","SMITE","SMITE","354598020","11915280","28848","568","16082","8219","276","29.76","SMITE"
"40","Call of Duty: Mobile","Call of Duty: Mobile","82065660","11267580","21086","466","17696","1902","261","7.28","Call of Duty: Mobile"
"41","Battlefield 4","Battlefield 4","149570400","11140320","41858","554","29526","3467","258","13.43","Battlefield 4"
"42","Science & Technology","Science & Technology","184583040","10864080","39955","396","8416","4278","251","16.99","Science & Technology"
"43","Knockout City","Knockout City","131651640","10745280","101401","1153","33414","3051","249","12.25","Knockout City"
"44","Talk Shows & Podcasts","Talk Shows & Podcasts","475282080","10586100","161517","556","15677","11017","245","44.9","Talk Shows & Podcasts"
"45","Among Us","Among Us","433091640","10468500","105282","691","45982","10039","242","41.37","Among Us"
"46","DayZ","DayZ","214561080","10138620","31503","472","11779","4973","235","21.16","DayZ"
"47","Guilty Gear: Strive","Guilty Gear: Strive","375546300","9781560","41854","1087","17794","8705","226","38.39","Guilty Gear: Strive"
"48","Dark Souls III","Dark Souls III","175487160","9641880","44652","427","18490","4067","223","18.2","Dark Souls III"
"49","Retro","Retro","245769120","9609480","21798","357","10973","5697","222","25.58","Retro"
"50","Tibia","Tibia","184084020","9345300","12622","455","5591","4267","216","19.7","Tibia"
